model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,40.27543508453582,41.52557044250039,41.43159922422434,40.18446212619983,40.42063128036176
gemma_2b_hf_4bit,22.86783172497193,22.496227197260524,2.29682788017714,21.728624456650344,27.084094293992788
gemma_2b_hf_8bit,12.376084641483615,11.639668373119347,11.872890721730482,10.496573694755956,13.271089812872686
gemma_4b_ol_q4km,29.37145069424263,45.92483076090446,45.44298559868778,36.16646510971659,39.86832253315202
phi3_4b_hf_4bit,18.96522876432836,19.84621335972536,18.47012482050301,20.433703291398192,18.44201768348979
phi3_4b_hf_8bit,12.5789798465489,11.444942927054935,13.243488732634754,12.06267505040596,12.588591149830323
qwen25_3b_hf_4bit,17.383673255391543,17.50851165486865,17.950608197336447,17.279355311972722,18.195043861789244
qwen25_3b_hf_8bit,7.083053728634105,7.406798241217555,7.457430828541235,7.081198824976317,7.737684673942806
qwen25_7b_hf_4bit,15.536315561259284,22.261975480269697,17.87331978468549,21.828489924795115,19.54201453502809
qwen25_7b_hf_8bit,3.4232968097248224,,,,
qwen_4b_ol_q4km,66.45502523444296,66.50558703163378,66.44186843423232,64.85085076170262,64.37248246671471
qwen_8b_ol_q4km,41.99855387110924,42.36754239764975,41.936861022896885,40.1104548445155,40.47718310033136
