model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,383.0,492.0,500.0,338.0,400.0
gemma_2b_hf_4bit,71.0,93.0,1.0,59.0,124.0
gemma_2b_hf_8bit,84.0,65.0,98.0,59.0,224.0
gemma_4b_ol_q4km,70.0,217.0,205.0,124.0,146.0
phi3_4b_hf_4bit,501.0,501.0,501.0,499.0,401.0
phi3_4b_hf_8bit,494.0,50.0,501.0,494.0,401.0
qwen25_3b_hf_4bit,500.0,500.0,500.0,499.0,399.0
qwen25_3b_hf_8bit,500.0,499.0,500.0,499.0,401.0
qwen25_7b_hf_4bit,500.0,500.0,500.0,500.0,399.0
qwen25_7b_hf_8bit,500.0,,,,
qwen_4b_ol_q4km,500.0,500.0,500.0,500.0,400.0
qwen_8b_ol_q4km,460.0,499.0,500.0,339.0,400.0
