model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,769.441123292327,767.8798389544487,603.0929842444658,1186.5538998577597,622.1646196099518
gemma_2b_hf_4bit,223.95933579087256,59.23873720276356,8.523508503675462,101.15949116981032,142.97504542303085
gemma_2b_hf_8bit,338.7658312611581,122.24001603925228,7.969139488220215,97.18108830833437,158.65735062241552
gemma_4b_ol_q4km,477.3314923384189,292.94926978492737,253.72262195611,402.3090498330593,307.7080648174286
phi3_4b_hf_4bit,374.0137992756367,230.6214788879156,251.6044581631422,224.23058796620373,23.53400413000584
phi3_4b_hf_8bit,355.82630793523793,292.3291997936965,345.63579905891413,137.53981454062463,93.68453063941004
qwen25_3b_hf_4bit,632.1254696674349,614.9899191087484,484.1713216274978,958.9397293423413,489.5895309215786
qwen25_3b_hf_8bit,964.5660585975644,988.188406791687,779.3660936133867,1522.4732556315644,770.1023838459255
qwen25_7b_hf_4bit,1223.4279061182735,1212.8885887831452,1091.0451082514526,1861.887875894904,968.6241235126258
qwen_4b_ol_q4km,420.56430213356015,412.6068461571932,331.55840182280537,656.35197967577,319.8457211319208
qwen_8b_ol_q4km,773.5013679817916,760.3912082629205,613.992172445774,1185.13431793654,623.286515719056
