model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,77.34455319148937,78.28427659574467,74.17648717948717,82.10292753623192,76.59071794871797
gemma_2b_hf_4bit,37.82213793103448,28.723454545454548,13.583,31.6326875,33.472333333333324
gemma_2b_hf_8bit,27.243442622950816,26.675434782608693,12.3125,27.315055555555556,25.67532258064515
gemma_4b_ol_q4km,66.50341176470589,57.974375,58.635000000000005,63.80409999999999,58.24576
phi3_4b_hf_4bit,34.28477358490566,32.60445714285715,30.172512195121943,30.67147222222222,16.755
phi3_4b_hf_8bit,23.746712328767124,25.69536363636364,27.212629032258068,26.28373076923077,22.45433333333333
qwen25_3b_hf_4bit,28.34485185185185,28.563180952380957,27.830894117647052,29.77838461538461,22.511301886792456
qwen25_3b_hf_8bit,18.7076,17.978684210526314,17.67565887850467,18.560336683417084,18.540534653465347
qwen25_7b_hf_4bit,62.063229166666666,62.61594680851064,53.78584848484847,62.72056944444444,60.498
qwen_4b_ol_q4km,67.15123333333335,65.2525,64.1878,73.86085714285716,60.72615999999999
qwen_8b_ol_q4km,79.26040425531914,76.55485106382977,75.78669230769229,81.80800000000002,77.08415384615385
