model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,9.796154260635376,9.748332500457764,8.046992778778076,14.36962604522705,7.985671281814575
gemma_2b_hf_4bit,5.810315132141113,2.078371047973633,0.6274683475494385,3.1197638511657715,4.17022442817688
gemma_2b_hf_8bit,12.392346143722534,4.5286290645599365,0.652653694152832,3.519562005996704,6.183003187179565
gemma_4b_ol_q4km,7.101086616516113,4.982434749603272,4.286020040512085,6.2517523765563965,5.131793737411499
phi3_4b_hf_4bit,10.803428411483765,7.021458387374878,8.298412799835205,7.27117919921875,1.4567174911499023
phi3_4b_hf_8bit,14.92147731781006,11.271996259689333,12.642967939376833,5.189618349075317,4.1392130851745605
qwen25_3b_hf_4bit,22.20663785934448,21.46984052658081,17.35218906402588,32.122533559799194,21.647139310836792
qwen25_3b_hf_8bit,51.4985466003418,54.91318941116333,44.037142515182495,81.99602723121643,41.47946548461914
qwen25_7b_hf_4bit,19.58800482749939,19.252192735672,20.173447847366333,29.626596450805664,15.89549160003662
qwen_4b_ol_q4km,6.224944591522217,6.253680467605591,5.140432834625244,8.810229778289795,5.131895303726196
qwen_8b_ol_q4km,9.684019565582275,9.762832164764404,8.049742460250854,14.388427257537842,7.988647937774658
