model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,40.83235005877256,41.03265866046493,39.76640824680739,41.754740040663286,40.07177214127536
gemma_2b_hf_4bit,27.881448134174207,22.13271785365227,1.593705887963073,25.001892361453415,26.137682006637743
gemma_2b_hf_8bit,13.072585136113448,11.924138460045718,1.5322061438693548,11.365050518174463,12.615228819828642
gemma_4b_ol_q4km,53.231289859333074,47.36640053716541,45.263437446928336,51.34560370684642,48.13131872377006
phi3_4b_hf_4bit,20.36390593990938,19.79645713630272,19.03978553623383,17.741276410002435,11.67007336925745
phi3_4b_hf_8bit,11.661043762222937,13.218599134285608,13.683495902982344,13.103083006502048,12.321182541354768
qwen25_3b_hf_4bit,17.967600612359337,18.584208834994214,18.383847641525687,18.647346072030828,14.736358251286587
qwen25_3b_hf_8bit,7.747791468688785,7.266013944527635,7.243885088366479,7.305231975579869,7.690552331690178
qwen25_7b_hf_4bit,20.36960902928961,20.72491198681493,15.812864633431802,20.218319745051605,20.068583471760324
qwen_4b_ol_q4km,64.2576000667961,63.96233419216444,62.2515671918762,68.10265056633625,62.355130231837066
qwen_8b_ol_q4km,41.30516231314006,40.97171735100219,39.752824587884746,41.70017954433975,40.0568409689037
