model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,1336.2266372513768,1539.4972560607196,1917.7741310958852,1444.0611479864122,2538.8133796120883
gemma_2b_hf_4bit,787.8339101461173,479.22706665611264,645.1268592519764,615.6211063858274,529.5125045144558
gemma_2b_hf_8bit,1053.0179441802509,1000.08476311183,1111.8005654138333,1326.6493538806428,751.8795680772071
gemma_4b_ol_q4km,354.4734741605522,704.8277365781069,1098.11017937243,958.4681712327,1613.181741996169
phi3_4b_hf_4bit,1588.2823123569488,1195.5996908369077,1480.5450264720916,1190.4396930974726,2368.1231425665605
phi3_4b_hf_8bit,2540.37796377325,1477.9647331571584,1511.9566015493876,1473.347758965969,2936.012430482748
qwen25_3b_hf_4bit,1894.224548610807,1127.7500277456045,1417.7164555045374,1124.158783096313,2170.377517911079
qwen25_3b_hf_8bit,2905.477087099433,1736.7093652654894,2279.459443864942,1791.7832578968992,3333.178402610424
qwen25_7b_hf_4bit,3772.898381040573,2190.7898907159565,2800.5426711590294,2289.078357436419,4207.356881438371
qwen_4b_ol_q4km,1032.6570797315835,792.313025238633,1062.8716262011526,837.185762029767,1600.819772497058
qwen_8b_ol_q4km,1444.1755710709106,1348.0225026202202,1818.2566421856889,1396.982087385774,2783.210489994168
