model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,80.4120625,81.41404494382022,82.9782844036697,82.48990361445783,87.19193430656934
gemma_2b_hf_4bit,42.33810989010989,39.56338983050848,41.80093333333333,25.696649572649576,40.213453125
gemma_2b_hf_8bit,28.270154696132604,23.25750717703349,25.719861904761903,29.09842792792793,29.55481451612903
gemma_4b_ol_q4km,19.44340229885057,63.78582692307692,70.12968493150684,58.01776623376625,73.10633980582526
phi3_4b_hf_4bit,35.24766972477065,35.31910975609757,29.96583333333333,34.349366863905324,37.109291262135926
phi3_4b_hf_8bit,29.524880095923265,27.836961240310075,27.683909433962267,28.097610236220472,29.09267418032787
qwen25_3b_hf_4bit,29.17939682539682,28.97039682539682,29.41749356223176,28.626036842105265,26.633527918781727
qwen25_3b_hf_8bit,17.987113665389526,17.897341151385927,18.061932786885244,18.132654811715483,18.738769499417927
qwen25_7b_hf_4bit,60.71513245033113,62.32630409356725,62.30236697247707,58.52219047619048,64.3623417721519
qwen_4b_ol_q4km,73.69942424242423,70.02290566037736,79.21565079365077,76.00575,81.5761956521739
qwen_8b_ol_q4km,76.51801111111111,80.85796202531645,84.61620792079206,79.8397469879518,88.92065771812081
