model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,16.56732749938965,18.740779638290405,22.95949101448059,17.359652042388916,28.95162010192871
gemma_2b_hf_4bit,18.537038564682007,12.013289213180542,15.32732105255127,23.896159648895264,13.04854440689087
gemma_2b_hf_8bit,37.19479155540466,42.977924823760986,43.210057497024536,45.50956678390503,25.35126829147339
gemma_4b_ol_q4km,18.144959926605225,11.002808809280396,15.51338005065918,16.312804222106934,21.982085704803467
phi3_4b_hf_4bit,45.01964569091797,33.76643204689026,49.37839341163635,34.594106912612915,63.76374220848084
phi3_4b_hf_8bit,85.98535227775574,53.00796341896057,54.57562065124512,52.348450660705566,100.82798528671265
qwen25_3b_hf_4bit,64.84188103675842,38.86498212814331,48.09781384468079,39.18254065513611,81.3889548778534
qwen25_3b_hf_8bit,161.4869167804718,96.96405863761902,126.19062757492064,98.74597454071044,177.83472800254822
qwen25_7b_hf_4bit,62.06060290336609,35.0775101184845,44.89800357818604,38.98382449150085,65.28111243247986
qwen_4b_ol_q4km,13.916862726211548,11.154889583587646,13.32493782043457,10.947266340255736,19.46272373199463
qwen_8b_ol_q4km,18.79537415504456,16.501415729522705,21.31921696662903,17.387104988098145,31.219070196151733
