model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,39.89780488279426,38.41889259126259,39.199475259811656,41.47548569763375,42.00110376272145
gemma_2b_hf_4bit,29.238758829182903,28.634955331182383,28.70690830389835,21.258646052922785,27.66592109763276
gemma_2b_hf_8bit,13.55028429852204,11.098721074971108,12.126806358359577,13.601535759266254,13.25377476727702
gemma_4b_ol_q4km,7.384970842703334,49.62369241020279,53.37328147032777,44.13710789370376,56.68251942661325
phi3_4b_hf_4bit,20.32446026523455,21.35256692204769,18.28735075425119,20.899513371637184,21.046443535453424
phi3_4b_hf_8bit,14.002384919128518,13.52626952167595,13.192703837506858,13.639372149287912,13.408975654482008
qwen25_3b_hf_4bit,18.46029110909705,18.47421407869565,18.71186916948685,18.350009672120443,16.55015722982984
qwen25_3b_hf_8bit,7.418557638502583,7.415118654295381,7.124142396916558,7.281309474580906,7.574448563166462
qwen25_7b_hf_4bit,19.319825201617043,20.52597227020933,20.023162019542102,18.46919868410993,20.60320282365181
qwen_4b_ol_q4km,66.17870838557268,64.54568596172808,67.5425290630473,65.76984405251807,69.3633644802112
qwen_8b_ol_q4km,36.498342323016864,40.72377855420756,42.21543415073687,41.40999899022039,43.24279972202407
