model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,613.2309931582212,367.0184295779465,365.14742610108857,564.3547476413252,363.6952183983326
gemma_2b_hf_4bit,139.45649500834944,95.82075430226324,260.17839717793464,116.15073667335508,72.36951903665066
gemma_2b_hf_8bit,198.56262079501155,229.4239372715951,433.07539658963685,118.29395821034907,185.5320237977505
gemma_4b_ol_q4km,386.4913917572498,256.5099049224853,258.00304693210126,404.3403841373921,263.2406986509562
phi3_4b_hf_4bit,263.3604029700756,263.77956502616405,305.663610096574,403.8094938670398,334.4839649569989
phi3_4b_hf_8bit,353.44495045459274,320.37620432925223,393.6278711174727,638.2508762489557,428.968309010029
qwen25_3b_hf_4bit,453.7453743011953,298.66987752342226,287.051042428136,470.05179316115374,306.02676770174503
qwen25_3b_hf_8bit,716.6487555977103,488.15627544784513,475.93583407926576,723.7484980813259,488.2741856776476
qwen25_7b_hf_4bit,887.8644854637386,600.328689115286,648.6755778305533,954.1819519211052,570.2860129457713
qwen_4b_ol_q4km,311.8337175974846,223.08966400170328,202.50666160619255,301.6399747117757,196.4185452209711
qwen_8b_ol_q4km,569.3354427796605,354.39265823245046,435.0245696916581,577.3984833703042,371.3204310013056
