model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,81.30822222222224,66.17977777777779,64.2627037037037,73.2994864864865,68.17561538461538
gemma_2b_hf_4bit,36.21268421052632,32.269533333333335,30.914390243902435,19.08086666666667,22.71425
gemma_2b_hf_8bit,25.71523684210527,26.901595238095243,26.4532,23.76604,25.381444444444448
gemma_4b_ol_q4km,65.3130357142857,59.26533333333333,58.04833333333334,66.41620689655173,60.80142857142858
phi3_4b_hf_4bit,30.602404761904765,31.58312195121951,30.924750000000003,34.72478947368421,34.05677083333333
phi3_4b_hf_8bit,22.725986842105264,26.545593220338983,25.84067567567568,28.4687247706422,29.42447887323944
qwen25_3b_hf_4bit,20.813471698113208,25.02993103448276,25.206875,24.83919565217392,24.52237704918033
qwen25_3b_hf_8bit,18.51155319148936,18.4288515625,17.87377519379845,18.212051813471504,17.895340909090905
qwen25_7b_hf_4bit,61.793599999999984,61.217875,53.581830508474575,55.88066265060242,60.03427659574466
qwen_4b_ol_q4km,63.305347826086965,60.693166666666656,50.62963157894737,60.347875,52.15622222222223
qwen_8b_ol_q4km,73.45956756756756,64.97130769230769,62.48730303030303,75.68643243243244,70.02142307692307
