model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,7.450127124786377,5.474523305892944,5.551321983337402,7.624140501022339,5.324043035507202
gemma_2b_hf_4bit,3.747671604156494,2.9335954189300537,8.329071760177612,6.010072708129883,3.125861883163452
gemma_2b_hf_8bit,7.634695053100586,8.47707200050354,16.356443643569946,4.962064743041992,7.228269815444946
gemma_4b_ol_q4km,5.847483158111572,4.291017770767212,4.303908109664917,6.018290042877197,4.304141044616699
phi3_4b_hf_4bit,8.502019166946411,8.285790205001831,9.772489070892334,11.570947647094728,9.77367877960205
phi3_4b_hf_8bit,15.546301364898682,11.992996215820312,15.141128301620483,22.33312439918518,14.543485879898071
qwen25_3b_hf_4bit,21.77232575416565,11.837027788162231,11.353953838348389,18.83376717567444,12.415759563446043
qwen25_3b_hf_8bit,38.6462619304657,26.4380202293396,26.570111989974976,39.67097473144531,27.22146987915039
qwen25_7b_hf_4bit,14.241219282150269,9.67318630218506,11.991458415985107,16.96623969078064,9.449665069580078
qwen_4b_ol_q4km,4.790204763412476,3.651997327804565,3.857747793197632,4.884934902191162,3.648416042327881
qwen_8b_ol_q4km,7.585916042327881,5.320831298828125,6.773603439331055,7.57311749458313,5.25700044631958
