model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,40.267769257508085,36.53286118714919,36.02745446945988,39.3486977266188,37.56543639225988
gemma_2b_hf_4bit,26.41640209088768,25.22501893836111,24.13234100839513,18.136219858464383,17.595147212434924
gemma_2b_hf_8bit,12.705157092110255,12.85821330684998,12.288734909621825,11.890211646821454,12.727803796618073
gemma_4b_ol_q4km,51.30412382357064,46.60898898217358,46.46939360784148,49.84804618299475,46.46687873998581
phi3_4b_hf_4bit,18.93667808065232,19.913610641552992,20.567943186417555,20.74160279000657,20.46312391782363
phi3_4b_hf_8bit,11.19237276545192,13.424501859478632,13.275100507436289,13.477738028046891,13.408064724670169
qwen25_3b_hf_4bit,13.778959739411471,16.896133351989974,17.615009083839393,15.928836605109884,16.10855936585882
qwen25_3b_hf_8bit,7.762717142987208,7.564862961185344,7.527254686599022,7.562203904261625,7.347141829148066
qwen25_7b_hf_4bit,21.065612013713988,20.67571054170872,16.67853842810244,17.68217386219165,21.16477129372878
qwen_4b_ol_q4km,62.627802947255255,54.76455266746649,51.84372092770297,61.413305603199234,54.81830955671094
qwen_8b_ol_q4km,39.54697077136901,37.588111474996126,29.52638160638343,39.61380504324445,38.04450884915176
