model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,1182.653650460124,614.711220369935,770.2551224570277,631.9044879963398,761.9886030586955
gemma_2b_hf_4bit,22.599244846105574,49.35921293878555,53.97552891325951,64.69488279545307,100.04287986552714
gemma_2b_hf_8bit,44.7152039564848,21.17360732841492,24.127219970345497,117.35340339684484,267.9168231590986
gemma_4b_ol_q4km,636.9637285810709,261.55831156265737,243.04585876357555,61.86299854278565,500.8442470082044
phi3_4b_hf_4bit,1146.5235485268831,538.1908440316915,685.8365213617088,537.9676872807742,748.1130556424857
phi3_4b_hf_8bit,1389.853493388891,674.0822180681228,858.6287826905253,670.8860708472725,916.0500192403796
qwen25_3b_hf_4bit,961.8135800204276,486.3272506796123,620.739833894372,503.47349821364907,643.6221680618522
qwen25_3b_hf_8bit,1453.831034178854,780.2265670087334,962.8854913089276,782.3612226034405,1005.561697121978
qwen25_7b_hf_4bit,1856.2028949217795,967.6843997043372,1199.539690443277,1036.6616145182848,1279.3207168184515
qwen_4b_ol_q4km,652.7939181374311,316.8404408413172,415.6732325561047,323.69900326204294,433.0464893939495
qwen_8b_ol_q4km,1186.222803497195,607.0531503506899,767.7489731434582,634.0636057524681,760.8188826459647
