model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,82.6745,77.58892105263158,76.41220833333334,79.96318421052631,78.85878260869568
gemma_2b_hf_4bit,15.819,23.941090909090917,25.955272727272725,25.777153846153848,29.202529411764704
gemma_2b_hf_8bit,21.568909090909088,14.717375,14.602,24.036875,19.207132352941176
gemma_4b_ol_q4km,69.40806976744184,62.4432,58.71125000000001,30.8303,67.05254285714285
phi3_4b_hf_4bit,40.47472463768116,32.658300000000004,29.98567567567567,33.943077922077926,37.17848979591837
phi3_4b_hf_8bit,31.68030046948357,28.691429824561403,29.431922535211264,28.63278947368421,29.888677852349
qwen25_3b_hf_4bit,28.099102409638547,26.53085393258427,27.48637272727272,22.303854545454545,26.991336206896552
qwen25_3b_hf_8bit,18.812536,18.537348039215686,18.18546692607004,17.589474418604652,18.167902985074623
qwen25_7b_hf_4bit,63.422676056338034,59.077886075949394,62.9270430107527,51.85284536082474,59.68151923076924
qwen_4b_ol_q4km,72.87585714285714,57.57011538461538,68.69237931034482,61.24932,68.90163333333332
qwen_8b_ol_q4km,82.61685507246376,74.52058974358977,77.65104255319149,79.56676315789473,77.16631914893615
