model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,14.226862907409668,7.851656436920166,9.939259767532349,7.835703611373901,9.587822437286375
gemma_2b_hf_4bit,1.4676382541656494,2.063741445541382,2.0724575519561768,2.4964888095855717,3.3530831336975098
gemma_2b_hf_8bit,2.085097074508667,1.4641623497009275,1.6640772819519043,4.797059535980225,13.895132064819336
gemma_4b_ol_q4km,9.037720203399658,4.149833679199219,4.126980781555176,1.9545447826385496,7.302988290786743
phi3_4b_hf_4bit,28.251861572265625,16.350245237350464,22.777924060821533,15.73896861076355,20.07751965522766
phi3_4b_hf_8bit,43.83093333244324,23.46451497077942,29.07294631004333,23.37502503395081,30.584899425506592
qwen25_3b_hf_4bit,34.12979292869568,18.23724341392517,22.4798595905304,22.49913477897644,23.74749636650085
qwen25_3b_hf_8bit,77.20415115356445,42.053040504455566,52.882253646850586,44.43669772148132,55.297773361206055
qwen25_7b_hf_4bit,29.152156591415405,16.25342345237732,18.99328994750977,19.936851978302,21.33404874801636
qwen_4b_ol_q4km,8.805401086807251,5.368685722351074,5.994369029998779,5.173508167266846,6.239768981933594
qwen_8b_ol_q4km,14.285084247589111,7.999220609664917,9.73987078666687,7.89152717590332,9.70987343788147
