model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,42.17373878590666,40.75573129961362,40.24444569872725,40.83870649924847,41.719587801754415
gemma_2b_hf_4bit,14.990069887832798,19.866829775880408,21.23083291065177,22.03094193285419,23.26217301805693
gemma_2b_hf_8bit,10.551067510937871,8.878796810104701,9.014004435181956,10.006129721755006,9.13989153953761
gemma_4b_ol_q4km,55.76627608037852,45.78496746806097,44.10003574851073,19.44186714857547,54.77209932057941
phi3_4b_hf_4bit,21.272934474165467,19.632733047129367,17.604764987768473,20.331700755865207,19.972586598643428
phi3_4b_hf_8bit,13.711777375161336,13.680231634864148,13.792891705010076,13.732605613631089,13.11104523906271
qwen25_3b_hf_4bit,17.550648527268745,17.43684573279254,17.749221181438255,14.178322994805953,16.84388088018641
qwen25_3b_hf_8bit,7.758650163882343,7.585658401232643,7.526154287180288,7.1787512654386765,7.233564313470504
qwen25_7b_hf_4bit,20.54736493067517,19.68815990905565,21.060069166818806,16.000520059394496,18.7493712386493
qwen_4b_ol_q4km,68.13999658674877,59.60490454260832,66.72929177336309,61.85357974781267,64.10493740363559
qwen_8b_ol_q4km,42.00185239378352,40.003897331368215,41.06830662964945,40.54981917531958,41.19518164258104
