model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,481.34036925899983,420.6915102465152,458.7605386092663,460.3146758474111,373.8309465743303
gemma_2b_hf_4bit,121.27838570785522,10.684857074260712,10.08875882267952,4.828883525013923,10.193267903327945
gemma_2b_hf_8bit,194.6376595757008,9.1912436978817,9.394484956264495,9.674293210029605,9.814987966060638
gemma_4b_ol_q4km,81.10935653948785,62.63540333318711,74.06197403037548,84.57903588628768,56.51813010787964
phi3_4b_hf_4bit,203.1385797334909,379.0990886884927,464.2831696665287,495.0950946996212,376.3934238455294
phi3_4b_hf_8bit,197.7521965769529,446.2226447976829,584.9941416393518,579.446900264621,453.6053926883936
qwen25_3b_hf_4bit,385.0723288220168,320.4254449186325,390.3363722590208,409.72194103598576,323.34326212155827
qwen25_3b_hf_8bit,614.8323404365779,497.5767564980985,624.687250813842,619.9350994162558,498.6156214414834
qwen25_7b_hf_4bit,737.6183007677793,588.1940265066625,834.6534652415515,757.3811988962891,582.324723134041
qwen_4b_ol_q4km,267.0874733991623,230.1287260808945,239.2667728517056,244.56340711724755,187.14578960978983
qwen_8b_ol_q4km,461.5575009436608,371.78588243746754,470.3869386522769,495.7495532172919,371.0639844180346
