model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,72.18184375,78.61161538461539,70.80358064516129,71.85706451612903,67.09322222222224
gemma_2b_hf_4bit,31.37584210526315,16.56525,15.4075,7.3865,15.32275
gemma_2b_hf_8bit,19.753291666666662,14.134,14.546499999999998,15.084,15.252
gemma_4b_ol_q4km,35.92609090909091,33.6226,39.89489999999999,31.65192307692307,26.423454545454547
phi3_4b_hf_4bit,26.88821621621621,33.173690909090915,37.822233333333344,40.18425,36.47386
phi3_4b_hf_8bit,23.335833333333333,28.92118666666667,30.21544680851064,30.016372340425523,29.85567567567568
qwen25_3b_hf_4bit,26.080027777777776,26.001600000000003,23.11279268292683,28.445671428571423,25.486887096774183
qwen25_3b_hf_8bit,18.421296296296298,18.375068181818182,17.60568604651163,18.32835365853659,18.382969696969703
qwen25_7b_hf_4bit,59.02990163934425,57.47753999999999,52.13806410256411,61.882449999999984,59.2394375
qwen_4b_ol_q4km,61.53566666666664,59.6458947368421,55.47990476190476,52.82068181818182,47.14521052631579
qwen_8b_ol_q4km,68.42984375,65.21018518518518,70.66284375000001,77.16490322580647,67.36792592592592
