model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,6.605555772781372,5.294589519500732,6.321605920791626,6.360045194625855,5.501610040664673
gemma_2b_hf_4bit,3.780703544616699,0.6549997329711914,0.6547367572784424,0.6535232067108154,0.6556475162506104
gemma_2b_hf_8bit,9.811815977096558,0.6503112316131592,0.6550688743591309,0.6520426273345947,0.6435415744781494
gemma_4b_ol_q4km,2.1695873737335205,1.984058380126953,1.953482151031494,2.5761806964874268,2.117148399353028
phi3_4b_hf_4bit,7.510778427124023,11.304723978042604,12.173787117004396,12.199397087097168,10.191015005111694
phi3_4b_hf_8bit,8.444572448730469,15.33036994934082,19.29620742797852,19.23930335044861,15.09593653678894
qwen25_3b_hf_4bit,14.66957664489746,12.230879545211792,16.79871129989624,14.311508417129517,12.61184287071228
qwen25_3b_hf_8bit,33.336714029312134,27.041183710098267,35.44194436073303,33.754401206970215,27.077022790908813
qwen25_7b_hf_4bit,12.459506750106812,10.118957996368408,15.897235870361328,12.18123173713684,9.761966943740845
qwen_4b_ol_q4km,4.30594801902771,3.8501174449920654,4.293923139572144,4.492366552352905,3.832566261291504
qwen_8b_ol_q4km,6.590353488922119,5.573736190795898,6.5780134201049805,6.365995645523071,5.487545013427734
