model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,37.84692894883145,37.774410889337375,39.5469130996849,39.30789677583523,36.35299458189827
gemma_2b_hf_4bit,24.86309727559717,1.5267181796606666,1.5273313875896022,1.5301675437556432,1.5252097738714938
gemma_2b_hf_8bit,8.968778073846462,1.537725248139117,1.5265570371944832,1.5336420627709229,1.5539011614143254
gemma_4b_ol_q4km,24.428608242126376,23.68881907446324,20.988162076807733,25.2311493866196,21.255005087858464
phi3_4b_hf_4bit,13.846767150581885,17.780177595703037,20.37163929485777,20.574787279075704,19.52700490581006
phi3_4b_hf_8bit,9.828798379541166,13.111229583121878,13.0077374497987,13.0462104280999,13.24859835708756
qwen25_3b_hf_4bit,16.973904975411134,16.27029350296443,14.82256558582193,17.468459138854556,15.778820116933558
qwen25_3b_hf_8bit,7.499239420543407,7.396125929402712,7.0255739207094114,7.37681579576005,7.349404753125769
qwen25_7b_hf_4bit,20.06499976396392,19.76488093653299,15.726004321675688,20.523376075165423,20.48767437470535
qwen_4b_ol_q4km,58.05922386783722,51.94646731105424,58.22181531291,55.64995578311857,52.18435543306268
qwen_8b_ol_q4km,37.93423227149058,35.88257376268846,38.00539525138429,39.27115472908219,36.44617028390847
