model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,451.543661518693,552.3113234004975,556.5276129114627,448.642308637023,458.329158739686
gemma_2b_hf_4bit,272.5794746479988,297.4168275630474,178.88224507200715,35.170524345636366,68.83222853374481
gemma_2b_hf_8bit,354.28693615353103,244.6915980879068,291.880991592288,127.13611621296408,480.8200599036216
gemma_4b_ol_q4km,370.8741523977519,377.805767533064,174.88855853712556,300.035997202158,371.5694802896976
phi3_4b_hf_4bit,488.2708089966773,488.700410961628,497.8685500017404,378.94847917079903,488.8833001291751
phi3_4b_hf_8bit,619.0144939293859,608.4792521311045,634.0461516872646,496.3485557789802,607.6804863172769
qwen25_3b_hf_4bit,446.2100723936557,474.07972171998017,454.4389964553117,355.6745027561188,454.1078212110996
qwen25_3b_hf_8bit,738.8400528085236,714.308654672384,717.0792564296723,571.641184336305,730.7459131766556
qwen25_7b_hf_4bit,942.404292940736,974.8978428535464,881.1671976171735,701.6079939118624,931.4795031186342
qwen_4b_ol_q4km,311.442675915122,304.4462649439574,308.71568752837175,271.3748357886076,291.84413671803475
qwen_8b_ol_q4km,562.4869128124714,566.127653353095,537.5268653199673,437.2718028187752,557.6821259256602
