model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,69.03358064516131,73.9726388888889,74.27325,72.83679999999998,59.825378378378375
gemma_2b_hf_4bit,24.795074074074076,26.88438888888889,31.79235714285714,21.65711111111111,27.20915384615385
gemma_2b_hf_8bit,26.6946,19.056857142857137,19.98245070422535,25.33816,28.067952380952388
gemma_4b_ol_q4km,63.286392857142864,61.24413793103449,53.7466875,59.386500000000005,62.89146428571429
phi3_4b_hf_4bit,31.70626666666667,33.26438028169015,34.55757142857143,32.492105263157896,34.054871428571424
phi3_4b_hf_8bit,28.17598130841121,27.06575229357798,29.132792452830188,27.916816091954036,27.31154629629629
qwen25_3b_hf_4bit,22.484708333333334,23.90292708333333,27.551925,26.713184615384616,27.16913580246913
qwen25_3b_hf_8bit,18.43336082474227,18.43022340425532,18.39459259259259,18.39885430463576,18.365274611398963
qwen25_7b_hf_4bit,55.14580722891566,55.79270588235292,60.42392957746479,60.47824561403509,58.22264102564103
qwen_4b_ol_q4km,62.79095833333333,59.93625,61.8945,65.5891,57.47620833333334
qwen_8b_ol_q4km,73.25172972972973,76.07230555555556,71.13108333333332,69.84560000000002,74.6051388888889
