model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,6.4073357582092285,7.402594804763794,7.449712514877319,6.108465433120728,7.582525968551636
gemma_2b_hf_4bit,10.938507080078123,10.965803146362305,5.5984251499176025,1.6712148189544678,2.474602222442627
gemma_2b_hf_8bit,13.236117362976074,12.80068588256836,14.524046659469604,4.986085891723633,17.089706659317017
gemma_4b_ol_q4km,5.821676015853882,6.052781581878662,3.213956117630005,4.934840202331543,5.81656551361084
phi3_4b_hf_4bit,15.29286503791809,14.62942600250244,14.311546087265016,11.575866222381592,14.296965837478638
phi3_4b_hf_8bit,21.91350769996643,22.38176321983337,21.72668957710266,17.71353554725647,22.206233978271484
qwen25_3b_hf_4bit,19.739625692367557,19.73882293701172,16.40003514289856,13.214815139770508,16.621100664138794
qwen25_3b_hf_8bit,40.02267003059387,38.692102909088135,38.91650366783142,31.031739950180054,39.75335669517517
qwen25_7b_hf_4bit,16.971688270568848,17.435309648513794,14.450573444366457,11.55264925956726,15.899367094039915
qwen_4b_ol_q4km,4.941689014434815,4.930407524108887,4.905169248580933,4.06023907661438,4.940565824508667
qwen_8b_ol_q4km,7.606673717498779,7.385458946228027,7.420783996582031,6.165222883224487,7.399696350097656
