model,q01,q02,q03,q04,q05
deepseek_8b_ol_q4km,36.52063959660514,40.12106671148224,40.13577697164652,39.28973694419147,31.78360364336929
gemma_2b_hf_4bit,20.478114459327127,22.06860699302986,23.935302591653336,20.34448211826581,24.246321067624063
gemma_2b_hf_8bit,12.69254384748263,9.296376857590976,9.570335544837478,12.033487048346592,13.39987891922961
gemma_4b_ol_q4km,51.53155194191928,49.56398904235464,39.2040200265439,48.6337936305634,51.5768281639734
phi3_4b_hf_4bit,19.682381244696906,20.43825915991881,21.031969443737587,20.819176325140464,21.053418146313717
phi3_4b_hf_8bit,13.644552213813675,13.403769714360932,13.853928318523872,13.60541487367421,13.554752250855532
qwen25_3b_hf_4bit,15.096537525289728,15.198474648530247,18.2926437282608,18.16143453098413,18.049346193256103
qwen25_3b_hf_8bit,7.495751776947313,7.753520161591811,7.708811730895073,7.734016860972292,7.54653254316033
qwen25_7b_hf_4bit,17.617575531274962,16.97704290702009,20.62201899096088,20.774455677449517,18.742884432909857
qwen_4b_ol_q4km,60.707988528556015,60.846897245927245,61.1599691665665,59.10981975970819,60.721789903453946
qwen_8b_ol_q4km,39.43905196168264,40.620359842798784,40.42699533340119,38.928033024246005,40.54220414004431
