model,functional_correctness_mean,functional_correctness_std,compilation_success_mean,compilation_success_std,test_pass_rate_mean,test_pass_rate_std,functional_dimension_mean,functional_dimension_std,time_complexity_score_mean,time_complexity_score_std,space_complexity_score_mean,space_complexity_score_std,efficiency_dimension_mean,efficiency_dimension_std,code_simplicity_mean,code_simplicity_std,code_length_mean,code_length_std,code_length_min,code_length_max,cyclomatic_complexity_mean,cyclomatic_complexity_std,cyclomatic_complexity_min,cyclomatic_complexity_max,nesting_depth_mean,nesting_depth_std,nesting_depth_max,quality_dimension_mean,quality_dimension_std,readability_score_mean,readability_score_std,has_docstring_mean,has_type_hints_mean,readability_dimension_mean,readability_dimension_std
deepseek_8b_ol_q4km,0.3,0.2739,0.6,0.5477,,,0.39,0.356,0.8,0.2739,0.82,0.1643,0.808,0.2138,0.8088,0.113,3.4,2.3022,1,7,2.2,1.6432,1,4,0.2,0.4472,1,0.8088,0.113,0.0958,0.1153,0.0,0.2,0.0958,0.1153
gemma_2b_hf_4bit,0.4,0.2236,0.8,0.4472,,,0.52,0.2907,0.9,0.2236,0.82,0.1643,0.868,0.1718,0.8283,0.0987,2.6,2.1909,1,5,2.6,2.6077,1,7,0.0,0.0,0,0.8283,0.0987,0.28,0.1789,0.0,0.0,0.28,0.1789
gemma_2b_hf_8bit,0.3,0.2739,0.6,0.5477,,,0.39,0.356,0.8,0.2739,0.76,0.1342,0.784,0.1926,0.7923,0.1174,3.8,4.3818,1,11,3.2,2.49,1,7,0.0,0.0,0,0.7923,0.1174,0.18,0.1643,0.0,0.0,0.18,0.1643
gemma_4b_ol_q4km,0.5,0.0,1.0,0.0,,,0.65,0.0,0.72,0.3114,0.88,0.1643,0.784,0.2104,0.498,0.1346,20.0,6.1644,11,26,5.8,2.3875,2,8,2.2,1.6432,4,0.498,0.1346,0.5693,0.2415,1.0,0.6,0.5693,0.2415
phi3_4b_hf_4bit,0.1,0.2236,0.2,0.4472,,,0.13,0.2907,0.6,0.2236,0.76,0.1342,0.664,0.1878,0.7593,0.1247,5.8,4.4385,1,13,3.2,2.49,1,7,0.0,0.0,0,0.7593,0.1247,0.1,0.1414,0.0,0.2,0.1,0.1414
phi3_4b_hf_8bit,0.1,0.2236,0.2,0.4472,,,0.13,0.2907,0.6,0.2236,0.76,0.1342,0.664,0.1878,0.7831,0.0806,5.0,2.5495,2,9,2.4,1.5166,1,4,0.0,0.0,0,0.7831,0.0806,0.112,0.1635,0.0,0.2,0.112,0.1635
qwen25_3b_hf_4bit,0.4,0.2236,0.8,0.4472,,,0.52,0.2907,0.86,0.2191,0.88,0.1643,0.868,0.1916,0.735,0.2269,9.8,15.1559,1,36,3.8,3.7014,1,10,0.4,0.8944,2,0.735,0.2269,0.3041,0.2167,0.0,0.2,0.3041,0.2167
qwen25_3b_hf_8bit,0.2,0.2739,0.4,0.5477,,,0.26,0.356,0.7,0.2739,0.82,0.1643,0.748,0.23,0.6569,0.1648,11.0,8.6313,1,24,5.0,2.7386,1,8,0.2,0.4472,1,0.6569,0.1648,0.1907,0.3263,0.2,0.2,0.1907,0.3263
qwen25_7b_hf_4bit,0.3,0.2739,0.6,0.5477,,,0.39,0.356,0.62,0.1643,0.76,0.1342,0.676,0.1381,0.5373,0.1076,17.4,9.685,6,28,6.2,2.2804,4,10,1.2,1.3038,3,0.5373,0.1076,0.4046,0.382,0.4,0.6,0.4046,0.382
qwen25_7b_hf_8bit,0.3,0.2739,0.6,0.5477,,,0.39,0.356,0.66,0.2302,0.76,0.1342,0.7,0.1849,0.5772,0.1812,15.6,10.3586,6,29,5.8,3.2711,1,10,1.2,1.6432,3,0.5772,0.1812,0.3933,0.4199,0.4,0.4,0.3933,0.4199
qwen_4b_ol_q4km,0.0,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.7,0.0,0.58,0.0,0.8567,0.0483,2.2,0.8367,1,3,1.6,0.8944,1,3,0.0,0.0,0,0.8567,0.0483,0.08,0.1095,0.0,0.4,0.08,0.1095
qwen_8b_ol_q4km,0.1,0.2236,0.2,0.4472,,,0.13,0.2907,0.6,0.2236,0.76,0.1342,0.664,0.1878,0.5918,0.1915,10.8,7.7266,1,19,17.0,13.784,1,35,0.0,0.0,0,0.5918,0.1915,0.16,0.0894,0.0,0.8,0.16,0.0894
