model,task_type,sample_count,response_length_mean,response_length_std,response_length_min,response_length_max,token_count_mean,token_count_std,throughput_tps_mean,throughput_tps_std,latency_s_mean,latency_s_std,gpu_energy_j_mean,gpu_energy_j_std,gpu_power_avg_w_mean,gpu_power_avg_w_std
deepseek_8b_ol_q4km,code,5,2282.2,390.04,1866,2831,712.0,81.98,41.16,2.56,17.33,1.96,1405.2,172.72,80.61,3.7
deepseek_8b_ol_q4km,creative,5,352.8,316.11,56,765,422.6,70.79,40.77,0.66,10.35,1.57,815.97,141.55,78.2,2.18
deepseek_8b_ol_q4km,math,5,1085.2,697.89,68,1973,408.0,114.54,40.69,0.79,9.99,2.6,789.83,235.2,77.7,2.89
deepseek_8b_ol_q4km,multi_turn,5,340.6,261.45,49,641,843.4,226.8,40.2,1.51,20.92,5.12,1755.27,489.73,82.9,2.6
deepseek_8b_ol_q4km,qa,5,1075.6,127.99,968,1229,240.0,54.77,37.95,1.82,6.28,1.15,454.69,123.64,70.65,6.85
deepseek_8b_ol_q4km,reasoning,5,641.8,185.93,461,948,408.0,114.54,41.15,0.78,9.89,2.61,792.3,229.7,79.1,2.4
deepseek_8b_ol_q4km,summary,5,390.8,49.92,338,449,230.0,27.39,38.17,1.3,6.02,0.58,438.99,42.48,72.11,4.16
deepseek_8b_ol_q4km,translation,5,108.8,167.95,18,406,262.2,32.8,37.57,3.56,6.99,0.68,493.47,55.77,69.99,6.05
gemma_2b_hf_4bit,code,5,1445.4,751.02,556,2586,416.2,163.34,23.2,4.18,18.51,7.33,597.57,229.4,33.2,5.36
gemma_2b_hf_4bit,creative,5,131.6,117.13,0,311,69.6,45.63,19.29,9.73,2.99,1.62,89.03,55.49,27.36,4.57
gemma_2b_hf_4bit,math,5,225.2,167.96,0,459,79.2,61.16,20.55,10.8,3.16,1.98,107.17,82.14,29.05,9.25
gemma_2b_hf_4bit,multi_turn,5,299.2,172.27,81,528,439.0,87.29,27.1,3.31,16.56,4.8,611.46,118.81,37.92,6.93
