model,distinct_1_mean,distinct_1_std,distinct_2_mean,distinct_2_std,text_length_mean,text_length_std,sentence_count_mean,sentence_count_std,unique_token_ratio_mean,unique_token_ratio_std,total_rhetorical_devices_mean,total_rhetorical_devices_std
deepseek_8b_ol_q4km,0.6043,0.177,0.8986,0.0726,361.0,321.2787,13.8,13.3116,0.6043,0.177,2.2,2.2804
gemma_2b_hf_4bit,0.5203,0.2976,0.7027,0.3971,139.0,120.938,3.2,2.5884,0.5203,0.2976,1.0,1.2247
gemma_2b_hf_8bit,0.5457,0.0747,0.8107,0.0807,162.6,98.8903,5.0,3.5355,0.5457,0.0747,3.4,3.3615
gemma_4b_ol_q4km,0.6573,0.128,0.917,0.0915,220.4,95.4086,7.2,3.4205,0.6573,0.128,1.4,1.3416
phi3_4b_hf_4bit,0.5426,0.077,0.8323,0.0778,352.8,56.5968,8.2,3.1145,0.5426,0.077,2.2,1.6432
phi3_4b_hf_8bit,0.6163,0.0728,0.8801,0.0383,265.2,135.9511,9.2,4.2071,0.6163,0.0728,1.0,1.2247
qwen25_3b_hf_4bit,0.3655,0.101,0.6883,0.1992,781.6,116.251,29.0,8.8034,0.3655,0.101,10.8,5.0695
qwen25_3b_hf_8bit,0.3912,0.0773,0.7105,0.1385,768.0,110.4785,19.8,3.8987,0.3912,0.0773,7.0,2.7386
qwen25_7b_hf_4bit,0.3964,0.072,0.6858,0.1284,817.2,116.8148,26.2,19.2276,0.3964,0.072,10.0,8.2765
qwen25_7b_hf_8bit,0.0407,0.091,0.068,0.1521,154.8,346.1433,5.4,12.0748,0.0407,0.091,3.0,6.7082
qwen_4b_ol_q4km,0.408,0.0513,0.7832,0.0824,700.0,79.853,24.4,8.5907,0.408,0.0513,6.6,2.0736
qwen_8b_ol_q4km,0.7652,0.0965,0.9605,0.0372,120.2,51.9201,2.8,1.4832,0.7652,0.0965,0.4,0.8944
