,extraction_confidence,extraction_confidence,extraction_confidence,extraction_confidence,has_answer,has_answer,has_answer,has_answer,exact_match,exact_match,exact_match,exact_match,numerical_match,numerical_match,numerical_match,numerical_match,has_reasoning,has_reasoning,has_reasoning,has_reasoning,step_count,step_count,step_count,step_count,has_calculation,has_calculation,has_calculation,has_calculation,text_length,text_length,text_length,text_length
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_8b_ol_q4km,0.54,0.19493588689617927,0.4,0.8,1.0,0.0,1.0,1.0,0.4,0.5477225575051661,0.0,1.0,0.4,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,20.0,11.0,1,28,0.8,0.4472135954999579,0.0,1.0,1085.2,697.8894611612931,68,1973
gemma_2b_hf_4bit,0.2,0.1414213562373095,0.1,0.4,1.0,0.0,1.0,1.0,0.5,0.5773502691896257,0.0,1.0,0.5,0.5773502691896257,0.0,1.0,1.0,0.0,1.0,1.0,5.75,3.593976442141304,3,11,0.5,0.5773502691896257,0.0,1.0,281.5,128.3887326312814,161,459
gemma_2b_hf_8bit,0.2,0.14142135623730953,0.1,0.4,1.0,0.0,1.0,1.0,0.5,0.5773502691896257,0.0,1.0,0.5,0.5773502691896257,0.0,1.0,1.0,0.0,1.0,1.0,5.25,3.862210075418823,3,11,0.5,0.5773502691896257,0.0,1.0,243.5,160.0947636037273,130,480
gemma_4b_ol_q4km,0.58,0.1643167672515498,0.4,0.7,1.0,0.0,1.0,1.0,0.2,0.447213595499958,0.0,1.0,0.2,0.447213595499958,0.0,1.0,1.0,0.0,1.0,1.0,15.6,4.39317652729776,12,23,0.8,0.4472135954999579,0.0,1.0,814.0,203.15388256196337,594,1101
phi3_4b_hf_4bit,0.33999999999999997,0.25099800796022265,0.1,0.7,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,6.4,3.9749213828703582,1,11,0.4,0.5477225575051661,0.0,1.0,395.2,209.68714791326624,48,590
phi3_4b_hf_8bit,0.27999999999999997,0.16431676725154984,0.1,0.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6,0.5477225575051661,0.0,1.0,6.4,4.03732584763727,2,12,0.6,0.5477225575051661,0.0,1.0,354.4,208.66552182859536,122,586
qwen25_3b_hf_4bit,0.58,0.16431676725154978,0.4,0.7,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,19.6,6.268971207462992,13,28,1.0,0.0,1.0,1.0,1291.4,351.11009669333066,1034,1898
qwen25_3b_hf_8bit,0.4,0.21213203435596426,0.1,0.7,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,18.0,5.0,13,26,1.0,0.0,1.0,1.0,1319.2,386.3569593005929,1012,1992
qwen25_7b_hf_4bit,0.33999999999999997,0.25099800796022265,0.1,0.7,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,22.4,6.4265076052238514,18,33,0.4,0.5477225575051661,0.0,1.0,1622.4,666.6073056905393,1145,2771
qwen_4b_ol_q4km,0.32,0.2683281572999748,0.1,0.7,0.8,0.4472135954999579,0.0,1.0,0.6,0.5477225575051661,0.0,1.0,0.6,0.5477225575051661,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,17.0,13.838352503098049,1,29,0.4,0.5477225575051662,0.0,1.0,740.8,639.083484374303,11,1441
qwen_8b_ol_q4km,0.5199999999999999,0.2683281572999747,0.1,0.7,1.0,0.0,1.0,1.0,0.2,0.447213595499958,0.0,1.0,0.2,0.447213595499958,0.0,1.0,1.0,0.0,1.0,1.0,28.2,9.628083921528727,18,43,0.6,0.5477225575051662,0.0,1.0,1426.4,316.9050330935121,990,1869
