,has_answer,has_answer,has_answer,has_answer,answer_length,answer_length,answer_length,answer_length,has_conclusion,has_conclusion,has_conclusion,has_conclusion,technical_term_density,technical_term_density,technical_term_density,technical_term_density,technical_term_count,technical_term_count,technical_term_count,technical_term_count,confidence_score,confidence_score,confidence_score,confidence_score,uncertainty_count,uncertainty_count,uncertainty_count,uncertainty_count,certainty_count,certainty_count,certainty_count,certainty_count,paragraph_count,paragraph_count,paragraph_count,paragraph_count,avg_paragraph_length,avg_paragraph_length,avg_paragraph_length,avg_paragraph_length,has_enumeration,has_enumeration,has_enumeration,has_enumeration,has_reasoning,has_reasoning,has_reasoning,has_reasoning,reasoning_steps,reasoning_steps,reasoning_steps,reasoning_steps,has_examples,has_examples,has_examples,has_examples
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_8b_ol_q4km,1.0,0.0,1.0,1.0,1075.6,127.98554605892025,968,1229,0.0,0.0,0.0,0.0,0.3635231211268334,0.1142849383975481,0.25,0.5385735080058224,20.8,10.232301793829187,12,37,0.31999999999999995,0.10954451150103324,0.19999999999999996,0.4,1.2,1.0954451150103321,0,3,0.6,0.5477225575051661,0,1,5.2,2.3874672772626644,3,9,228.83333333333331,72.60662657238817,131.66666666666666,330.0,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,13.4,2.701851217221259,9,16,0.2,0.4472135954999579,0.0,1.0
gemma_2b_hf_4bit,1.0,0.0,1.0,1.0,417.0,263.41222446955646,236,880,0.6,0.5477225575051661,0.0,1.0,0.480350123919416,0.2030821653488794,0.2450980392156863,0.7070707070707071,10.8,6.300793600809346,4,19,0.5599999999999999,0.054772255750516585,0.5,0.6,0.0,0.0,0,0,0.4,0.5477225575051661,0,1,4.2,1.4832396974191326,2,6,104.07666666666667,67.96788620779343,50.333333333333336,218.0,0.6,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,5.0,3.3911649915626345,1,10,0.2,0.447213595499958,0.0,1.0
gemma_2b_hf_8bit,1.0,0.0,1.0,1.0,476.0,280.36226564928455,195,941,0.4,0.5477225575051661,0.0,1.0,0.529751137822383,0.27791657419623855,0.3125,0.975609756097561,11.4,4.449719092257398,6,18,0.52,0.08366600265340755,0.4,0.6,0.2,0.447213595499958,0,1,0.0,0.0,0,0,4.4,1.6733200530681511,3,7,106.61857142857143,52.33015665864537,63.0,186.2,0.4,0.5477225575051661,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,4.0,2.449489742783178,1,7,0.0,0.0,0.0,0.0
gemma_4b_ol_q4km,1.0,0.0,1.0,1.0,1066.4,196.83698839394998,905,1375,0.2,0.4472135954999579,0.0,1.0,0.31333651242500665,0.06526426351329392,0.20512820512820515,0.37825059101654845,15.6,3.361547262794322,12,21,0.5599999999999999,0.08944271909999157,0.5,0.7,0.0,0.0,0,0,0.4,0.8944271909999159,0,2,5.8,1.7888543819998317,5,9,185.84,28.12628663723671,147.0,225.8,0.4,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,10.8,2.588435821108957,8,15,0.2,0.4472135954999579,0.0,1.0
phi3_4b_hf_4bit,1.0,0.0,1.0,1.0,794.4,189.73086201248336,529,1005,0.0,0.0,0.0,0.0,0.5367074287798781,0.10443884138305266,0.39215686274509803,0.6439393939393939,20.6,6.18869937870632,14,30,0.52,0.04472135954999581,0.5,0.6,0.0,0.0,0,0,0.2,0.447213595499958,0,1,3.6,1.3416407864998738,3,6,227.53333333333336,60.48535176204052,162.0,295.6666666666667,0.6,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,5.6,1.51657508881031,4,7,0.6,0.5477225575051661,0.0,1.0
phi3_4b_hf_8bit,1.0,0.0,1.0,1.0,862.8,253.95708298844514,601,1253,0.2,0.4472135954999579,0.0,1.0,0.5365750731669905,0.09455969430607697,0.39906103286384975,0.6270627062706271,23.6,10.573551910309043,17,42,0.54,0.054772255750516606,0.5,0.6,0.0,0.0,0,0,0.2,0.447213595499958,0,1,4.0,1.7320508075688772,3,7,221.95476190476194,48.74240187314135,173.85714285714286,302.6666666666667,0.6,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,6.8,3.4205262752974135,3,12,0.6,0.5477225575051661,0.0,1.0
qwen25_3b_hf_4bit,1.0,0.0,1.0,1.0,1037.4,236.99852320214993,832,1387,0.2,0.447213595499958,0.0,1.0,0.33652232088756445,0.19508927728194683,0.1443001443001443,0.5921052631578948,16.8,8.64291617453276,7,27,0.54,0.05477225575051661,0.5,0.6,0.0,0.0,0,0,0.2,0.447213595499958,0,1,4.8,0.8366600265340755,4,6,212.40666666666667,20.51025691913412,183.2,233.0,0.6,0.5477225575051661,0.0,1.0,0.8,0.4472135954999579,0.0,1.0,11.4,3.361547262794322,9,17,0.0,0.0,0.0,0.0
qwen25_3b_hf_8bit,1.0,0.0,1.0,1.0,1010.4,160.35678969098876,837,1240,0.0,0.0,0.0,0.0,0.40381247446046586,0.17251538077615922,0.13513513513513514,0.578386605783866,21.4,11.781341180018513,6,38,0.52,0.04472135954999581,0.5,0.6,0.0,0.0,0,0,0.2,0.447213595499958,0,1,5.0,1.4142135623730951,3,7,213.8190476190476,73.04348935989081,153.42857142857142,327.6666666666667,0.4,0.5477225575051661,0.0,1.0,0.6,0.5477225575051662,0.0,1.0,12.4,1.140175425099138,11,14,0.2,0.4472135954999579,0.0,1.0
qwen25_7b_hf_4bit,1.0,0.0,1.0,1.0,1059.6,171.82200091955627,901,1309,0.2,0.447213595499958,0.0,1.0,0.3189203227671952,0.05794669274040791,0.2358490566037736,0.3770739064856712,17.2,4.604345773288535,13,25,0.54,0.08944271909999157,0.5,0.7,0.0,0.0,0,0,0.2,0.447213595499958,0,1,5.8,1.6431676725154984,4,8,191.11857142857144,59.85492529134635,122.5,287.75,0.4,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,14.6,6.024948132556826,10,25,0.0,0.0,0.0,0.0
qwen_4b_ol_q4km,1.0,0.0,1.0,1.0,1071.2,172.6519620508264,930,1315,0.0,0.0,0.0,0.0,0.26996927474227944,0.13081993870228795,0.12903225806451615,0.41284403669724773,14.6,8.17312669668102,6,27,0.3,0.223606797749979,0.0,0.6,1.8,1.3038404810405297,0,3,0.2,0.447213595499958,0,1,5.4,1.140175425099138,4,7,206.87047619047615,69.40472624355858,136.28571428571428,296.5,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,15.4,1.8165902124584947,13,17,0.2,0.4472135954999579,0.0,1.0
qwen_8b_ol_q4km,1.0,0.0,1.0,1.0,1033.2,189.60406113794082,893,1324,0.0,0.0,0.0,0.0,0.29048281563295214,0.0716983018183973,0.1910828025477707,0.34632034632034636,15.2,3.96232255123179,9,20,0.38,0.10954451150103324,0.3,0.5,1.0,1.0,0,2,0.0,0.0,0,0,3.6,0.5477225575051661,3,4,288.98333333333335,65.15863121814503,221.75,374.6666666666667,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,4.06201920231798,9,18,0.2,0.4472135954999579,0.0,1.0
