,exact_match,exact_match,exact_match,exact_match,f1_score,f1_score,f1_score,f1_score,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_recall,bertscore_recall,bertscore_recall,bertscore_recall,bertscore_f1,bertscore_f1,bertscore_f1,bertscore_f1,rouge_l,rouge_l,rouge_l,rouge_l,bleu,bleu,bleu,bleu
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_8b_ol_q4km,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.0,0.25,0.8483813643455506,0.051604595551607776,0.8027025461196899,0.9357287287712097,0.830357027053833,0.061523440216637526,0.7921596765518188,0.9357287287712097,0.8391411900520325,0.05571861483124885,0.7973963022232056,0.9357287287712097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_2b_hf_4bit,0.0,0.0,0.0,0.0,0.04398826979472141,0.061723065043546015,0.0,0.12903225806451613,0.8579044938087463,0.038931395406847175,0.824993371963501,0.9209640026092529,0.8189615249633789,0.045382052879754664,0.7797132730484009,0.8861868381500244,0.8368622660636902,0.023940079217976733,0.8035574555397034,0.8591604232788086,0.04009216448506558,0.05855436544505337,0.0,0.1290322553590011,1.3806662164937636e-157,3.0872635143196956e-157,0.0,6.903331082468818e-157
gemma_2b_hf_8bit,0.0,0.0,0.0,0.0,0.01818181818181818,0.040655781409087086,0.0,0.09090909090909091,0.8435606122016907,0.05162941613042112,0.7806805968284607,0.9209640026092529,0.8106148838996887,0.021782205811020715,0.7797132730484009,0.8410411477088928,0.8257800817489624,0.021649280460834044,0.7964998483657837,0.8497564792633057,0.028571427698979617,0.06388765454913882,0.0,0.1428571384948981,8.15555721363702e-233,0.0,0.0,4.07777860681851e-232
gemma_4b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7954458475112915,0.007424622587136629,0.7847487330436707,0.8051266670227051,0.8046055197715759,0.02879568318936688,0.781720757484436,0.8547255992889404,0.7998641133308411,0.017055598813008586,0.7879636883735657,0.8291851282119751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi3_4b_hf_4bit,0.2,0.447213595499958,0.0,1.0,0.29379310344827586,0.42813091000286474,0.0,1.0,0.8442555665969849,0.037933700867544703,0.793678343296051,0.8854948282241821,0.8448029041290284,0.04353947379637415,0.7962421774864197,0.9105895161628723,0.8440971732139587,0.035018607427085124,0.8071389198303223,0.8978668451309204,0.16266666458595563,0.2841595780690561,0.0,0.6666666622222223,3.294677569136032e-232,0.0,0.0,1.5319719891192393e-231
phi3_4b_hf_8bit,0.2,0.447213595499958,0.0,1.0,0.305,0.4214558102577303,0.0,1.0,0.8524966478347779,0.031632829505050884,0.802208423614502,0.8854948282241821,0.8499147534370423,0.03420235762265602,0.8305586576461792,0.9105895161628723,0.8510127186775207,0.029729039144156907,0.8175442814826965,0.8978668451309204,0.17357575528876554,0.2805771290273615,0.0,0.6666666622222223,3.404676813688518e-232,0.0,0.0,1.5319719891192393e-231
qwen25_3b_hf_4bit,0.0,0.0,0.0,0.0,0.02857142857142857,0.06388765649999399,0.0,0.14285714285714285,0.879454743862152,0.043055727797985,0.8237061500549316,0.9378044009208679,0.824132215976715,0.0771911109272762,0.7626875042915344,0.9378044009208679,0.8504160284996033,0.059752897273218794,0.7938347458839417,0.9378044009208679,0.03720930136938889,0.08320252725722957,0.0,0.18604650684694443,6.414420905632174e-156,1.434308118128939e-155,0.0,3.207210452816087e-155
qwen25_3b_hf_8bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8268031001091003,0.06917016570305964,0.7558618783950806,0.9378044009208679,0.8096222162246705,0.07761902826984118,0.748437225818634,0.9378044009208679,0.8180319428443908,0.0730496080291494,0.7529754042625427,0.9378044009208679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_7b_hf_4bit,0.0,0.0,0.0,0.0,0.01951219512195122,0.04363059468292272,0.0,0.0975609756097561,0.8816214561462402,0.04964017052839852,0.8140026926994324,0.9378044009208679,0.8184166312217712,0.07060157006252914,0.7626875042915344,0.9378044009208679,0.8477389216423035,0.05173940482789907,0.8146973848342896,0.9378044009208679,0.01860465020659821,0.04160126255955911,0.0,0.09302325103299106,1.1658578246114762e-232,0.0,0.0,5.8292891230573805e-232
qwen_4b_ol_q4km,0.0,0.0,0.0,0.0,0.042222222222222223,0.05794846582402355,0.0,0.1111111111111111,0.8167065262794495,0.0374444400168582,0.7781015634536743,0.8776242136955261,0.8130582809448242,0.036094852996854825,0.7567987442016602,0.852148175239563,0.8142214894294739,0.02599255201443352,0.7832333445549011,0.845705509185791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_8b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81091787815094,0.00905778563567623,0.7957738637924194,0.8186274766921997,0.806191909313202,0.03436817728896567,0.7745941877365112,0.8640657067298889,0.8083231091499329,0.019864254538676573,0.7921944260597229,0.8407330513000488,0.015999999270400033,0.03577708600856151,0.0,0.07999999635200017,2.2575985398382266e-233,0.0,0.0,1.1287992699191133e-232
