,exact_match,exact_match,exact_match,exact_match,f1_score,f1_score,f1_score,f1_score
,mean,std,min,max,mean,std,min,max
model,,,,,,,,
deepseek_8b_ol_q4km,0.0,0.0,0.0,0.0,0.028571428571428574,0.063887656499994,0.0,0.14285714285714288
gemma_2b_hf_4bit,0.0,0.0,0.0,0.0,0.06262626262626263,0.09751530009007814,0.0,0.2222222222222222
gemma_2b_hf_8bit,0.0,0.0,0.0,0.0,0.01818181818181818,0.040655781409087086,0.0,0.09090909090909091
gemma_4b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phi3_4b_hf_4bit,0.2,0.447213595499958,0.0,1.0,0.29379310344827586,0.42813091000286474,0.0,1.0
phi3_4b_hf_8bit,0.2,0.447213595499958,0.0,1.0,0.3107692307692308,0.41856333603433227,0.0,1.0
qwen25_3b_hf_4bit,0.0,0.0,0.0,0.0,0.027906976744186053,0.06240189704650577,0.0,0.13953488372093026
qwen25_3b_hf_8bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen25_7b_hf_4bit,0.0,0.0,0.0,0.0,0.01904761904761905,0.042591770999996,0.0,0.09523809523809525
qwen_4b_ol_q4km,0.0,0.0,0.0,0.0,0.05555555555555556,0.07856742013183861,0.0,0.16666666666666666
qwen_8b_ol_q4km,0.0,0.0,0.0,0.0,0.014285714285714287,0.031943828249997,0.0,0.07142857142857144
