model,avg_correctness,avg_completeness,avg_rigor,avg_clarity,avg_efficiency,avg_weighted_total,avg_normalized_score,std_normalized_score,min_normalized_score,max_normalized_score,num_questions
qwen25_7b_hf_4bit,4.2,4.8,4.6,4.6,3.6,4.4399999999999995,88.8,14.078352176302452,71.0,99.0,5
deepseek_8b_ol_q4km,3.8,5.0,4.6,4.2,3.4,4.279999999999999,85.6,18.80957203128238,64.99999999999999,100.0,5
qwen25_3b_hf_4bit,3.8,4.8,4.2,4.2,3.8,4.17,83.4,17.84096409950987,57.00000000000001,100.0,5
gemma_4b_ol_q4km,4.0,4.4,4.0,4.4,4.0,4.140000000000001,82.8,22.01590334281108,52.0,100.0,5
qwen_4b_ol_q4km,3.4,5.0,4.4,3.4,2.0,3.9299999999999997,78.6,14.345731072343447,63.99999999999999,96.00000000000001,5
qwen_8b_ol_q4km,3.4,5.0,4.4,3.4,2.0,3.9299999999999997,78.6,14.345731072343447,63.99999999999999,96.00000000000001,5
qwen25_3b_hf_8bit,3.4,4.0,3.6,3.4,3.2,3.580000000000001,71.6,21.743964679883018,37.0,92.00000000000001,5
phi3_4b_hf_8bit,2.6,3.4,2.8,2.4,3.4,2.8600000000000003,57.2,19.26655132606767,38.0,78.0,5
phi3_4b_hf_4bit,2.6,3.2,2.6,2.4,3.4,2.7700000000000005,55.4,21.76694742034353,29.000000000000004,78.0,5
gemma_2b_hf_8bit,2.4,2.0,1.8,2.8,4.4,2.32,46.4,21.96132965009177,26.0,80.0,5
gemma_2b_hf_4bit,2.2,2.0,1.6,2.6,4.6,2.19,43.8,24.4172070474901,24.000000000000004,80.0,5
