,conclusion_correct,conclusion_correct,conclusion_correct,conclusion_correct,conclusion_f1,conclusion_f1,conclusion_f1,conclusion_f1,has_premise,has_premise,has_premise,has_premise,has_reasoning_steps,has_reasoning_steps,has_reasoning_steps,has_reasoning_steps,reasoning_keyword_count,reasoning_keyword_count,reasoning_keyword_count,reasoning_keyword_count,has_conclusion,has_conclusion,has_conclusion,has_conclusion,step_count,step_count,step_count,step_count,completeness_score,completeness_score,completeness_score,completeness_score,has_logical_connectors,has_logical_connectors,has_logical_connectors,has_logical_connectors,connector_density,connector_density,connector_density,connector_density,coherence_score,coherence_score,coherence_score,coherence_score,sentence_count,sentence_count,sentence_count,sentence_count,avg_sentence_length,avg_sentence_length,avg_sentence_length,avg_sentence_length,depth_score,depth_score,depth_score,depth_score,keyword_coverage,keyword_coverage,keyword_coverage,keyword_coverage,extraction_confidence,extraction_confidence,extraction_confidence,extraction_confidence
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_8b_ol_q4km,0.2,0.447213595499958,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.6,0.5477225575051662,4,5,1.0,0.0,1.0,1.0,18.4,5.683308895353129,12,27,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.15470783696590149,0.08439440249337098,0.05128205128205128,0.2857142857142857,3.151152989859921e-16,7.04619229282849e-16,0.0,1.5755764949299607e-15,18.4,5.683308895353129,12,27,1.6488888888888886,0.6193684557277819,1.1666666666666667,2.7333333333333334,0.554962962962963,0.0206456151909261,0.5388888888888889,0.5911111111111111,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
gemma_2b_hf_4bit,0.2,0.4472135954999579,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.5477225575051662,0.0,1.0,0.4,0.5477225575051661,0.0,1.0,0.4,0.5477225575051661,0,1,0.6,0.5477225575051662,0.0,1.0,2.2,2.16794833886788,1,6,0.45999999999999996,0.39115214431215894,0.0,1.0,0.4,0.5477225575051661,0.0,1.0,0.04722222222222222,0.06484787516627084,0.0,0.125,0.08120116994196762,0.07412618745504354,1.3461998461573202e-115,0.1353352832366127,2.2,2.16794833886788,1,6,1.4,0.5477225575051661,1.0,2.0,0.2038095238095238,0.15048673862969242,0.10476190476190475,0.4619047619047619,0.0,0.0,0.0,0.0,0.82,0.16431676725154987,0.7,1.0
gemma_2b_hf_8bit,0.2,0.4472135954999579,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4472135954999579,0.0,1.0,0.6,0.5477225575051661,0.0,1.0,0.6,0.5477225575051661,0,1,0.4,0.5477225575051661,0.0,1.0,2.2,2.16794833886788,1,6,0.41999999999999993,0.38340579025361626,0.0,0.7,0.6,0.5477225575051661,0.0,1.0,0.2585858585858586,0.4216249218645308,0.0,1.0,0.054134113294645084,0.07412618745504354,0.0,0.1353352832366127,2.2,2.16794833886788,1,6,1.1,0.22360679774997896,1.0,1.5,0.1938095238095238,0.15464830995921885,0.10476190476190475,0.4619047619047619,0.0,0.0,0.0,0.0,0.82,0.16431676725154987,0.7,1.0
gemma_4b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5477225575051661,0.0,1.0,1.0,0.0,1.0,1.0,2.2,0.8366600265340756,1,3,1.0,0.0,1.0,1.0,9.8,6.760177512462229,1,19,0.8800000000000001,0.16431676725154987,0.7,1.0,1.0,0.0,1.0,1.0,0.08763814616755793,0.05689435668230546,0.041666666666666664,0.18181818181818182,3.899560900365587e-10,8.71961246095256e-10,3.798540193633925e-257,1.9497677860172447e-09,9.8,6.760177512462229,1,19,4.960047846889952,3.1974246615868394,2.1818181818181817,10.0,0.565334928229665,0.09494243184631199,0.40476190476190477,0.6472222222222223,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
phi3_4b_hf_4bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,2.2,1.7888543819998317,0,4,0.8,0.4472135954999579,0.0,1.0,8.2,1.6431676725154982,7,11,0.86,0.1949358868961793,0.6,1.0,1.0,0.0,1.0,1.0,0.2515204678362573,0.07329517647077383,0.13333333333333333,0.3333333333333333,1.5100718516240547e-133,3.3766233111403627e-133,0.0,7.550359258120274e-133,8.2,1.6431676725154982,7,11,1.8993506493506493,0.5716256946743571,1.375,2.857142857142857,0.5633116883116883,0.019054189822478577,0.5458333333333333,0.5952380952380952,0.0,0.0,0.0,0.0,0.8800000000000001,0.16431676725154987,0.7,1.0
phi3_4b_hf_8bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.7320508075688774,1,5,0.6,0.5477225575051661,0.0,1.0,7.8,2.2803508501982757,5,10,0.82,0.16431676725154987,0.7,1.0,1.0,0.0,1.0,1.0,0.3617216117216117,0.30882944418465974,0.07142857142857142,0.8333333333333334,3.3503589664529376e-34,7.491630398014706e-34,0.0,1.6751794832264688e-33,7.8,2.2803508501982757,5,10,1.6416666666666668,0.4563593856697689,1.3,2.375,0.5118650793650794,0.06559814280243184,0.41714285714285715,0.5791666666666666,0.0,0.0,0.0,0.0,0.8800000000000001,0.16431676725154987,0.7,1.0
qwen25_3b_hf_4bit,0.4,0.5477225575051661,0.0,1.0,0.2,0.4472135954999579,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.8,0.8366600265340756,1,3,1.0,0.0,1.0,1.0,17.4,2.8809720581775866,13,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.12914230019493175,0.05003825687405815,0.07407407407407407,0.21052631578947367,4.377470995521273e-37,9.788322715519245e-37,0.0,2.1887354977606364e-36,17.4,2.8809720581775866,13,20,1.8984162895927603,0.8546222496607973,1.1538461538461537,3.235294117647059,0.5632805429864254,0.0284874083220266,0.5384615384615384,0.607843137254902,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
qwen25_3b_hf_8bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,0.4472135954999579,0.0,1.0,1.6,1.140175425099138,0,3,0.6,0.5477225575051661,0.0,1.0,17.6,4.159326868617084,14,24,0.8,0.3082207001484488,0.3,1.0,0.8,0.4472135954999579,0.0,1.0,0.10842514068320519,0.1023943412274802,0.0,0.25,0.0349024254435949,0.058650591394813836,0.0,0.1353352832366127,17.6,4.159326868617084,14,24,1.8578984225269053,0.4661223277436438,1.2857142857142858,2.4285714285714284,0.5619299474175634,0.01553741092478816,0.5428571428571428,0.5809523809523809,0.0,0.0,0.0,0.0,0.8800000000000001,0.16431676725154987,0.7,1.0
