,bartscore_info,bartscore_info,bartscore_info,bartscore_info,bartscore_faith,bartscore_faith,bartscore_faith,bartscore_faith,bartscore_avg,bartscore_avg,bartscore_avg,bartscore_avg
,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,
deepseek_8b_ol_q4km,-3.662,0.2127,-3.8573,-3.3106,-3.2861,0.2539,-3.6016,-2.9919,-3.4741,0.2168,-3.6602,-3.1513
gemma_2b_hf_4bit,-3.998,,-3.998,-3.998,-3.7687,,-3.7687,-3.7687,-3.8834,,-3.8834,-3.8834
gemma_2b_hf_8bit,-2.3156,,-2.3156,-2.3156,-2.4873,,-2.4873,-2.4873,-2.4015,,-2.4015,-2.4015
gemma_4b_ol_q4km,-3.1063,0.3844,-3.3732,-2.4284,-3.3769,0.1369,-3.5294,-3.2069,-3.2416,0.2457,-3.4389,-2.8177
phi3_4b_hf_4bit,-4.0926,0.7506,-5.052,-3.028,-3.6653,0.4371,-4.0438,-2.9799,-3.8789,0.5866,-4.5479,-3.004
phi3_4b_hf_8bit,-3.9651,0.5283,-4.6928,-3.2433,-3.7356,0.3842,-4.1737,-3.175,-3.8503,0.3898,-4.4332,-3.4166
qwen25_3b_hf_4bit,-2.6361,0.2274,-2.8992,-2.3259,-2.3699,0.6051,-3.1494,-1.8078,-2.503,0.2088,-2.7376,-2.3116
qwen25_3b_hf_8bit,-2.6777,0.7137,-3.6537,-1.8725,-3.1043,0.9647,-3.8806,-1.771,-2.891,0.7006,-3.7293,-1.8217
qwen25_7b_hf_4bit,-3.2611,0.5894,-4.1148,-2.7665,-3.3193,0.7588,-3.8185,-1.9771,-3.2902,0.5488,-3.8594,-2.4029
qwen_4b_ol_q4km,-3.2908,0.2856,-3.7141,-2.9752,-2.4102,0.3866,-2.9447,-1.8744,-2.8505,0.326,-3.3294,-2.4248
qwen_8b_ol_q4km,-3.3912,0.3638,-3.7711,-2.8676,-3.3184,0.1924,-3.591,-3.0766,-3.3548,0.1263,-3.5152,-3.2293
