model,question_id,source_length,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_2_precision,rouge_2_recall,rouge_2_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,bertscore_precision,bertscore_recall,bertscore_f1,compression_ratio,length,in_range,deviation,compliance_score,information_density
deepseek_8b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867173314094543,0.7747045159339905,0.7280622720718384,2.3169398907103824,424,0.0,5.057142857142857,0.0,0.0
deepseek_8b_ol_q4km,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6242855787277222,0.7107555866241455,0.6647202968597412,2.0116959064327484,344,0.0,4.733333333333333,0.0,0.0
deepseek_8b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392401456832886,0.7596302032470703,0.6942546963691711,2.5180722891566263,418,0.0,5.966666666666667,0.0,0.0
deepseek_8b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669556200504303,0.736047625541687,0.7012292146682739,1.9531914893617022,459,0.0,4.7375,0.0,0.0
deepseek_8b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680819034576416,0.7994354367256165,0.7353747487068176,1.9378531073446328,343,0.0,4.716666666666667,0.0,0.0
gemma_2b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573028564453125,0.6538269519805908,0.655560314655304,0.8633879781420765,158,0.0,1.2571428571428571,0.0,0.0
gemma_2b_hf_8bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343755841255188,0.865543007850647,0.8986430764198303,0.8142076502732241,149,0.0,1.1285714285714286,0.0,0.0
gemma_4b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7928170561790466,0.7181590795516968,0.7536436915397644,0.48633879781420764,89,0.0,0.2714285714285714,0.7285714285714286,0.0
gemma_4b_ol_q4km,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118473291397095,0.7484228014945984,0.7788459658622742,0.4619883040935672,79,0.0,0.31666666666666665,0.6833333333333333,0.0
gemma_4b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784494400024414,0.7675818204879761,0.8192819356918335,0.4578313253012048,76,0.0,0.26666666666666666,0.7333333333333334,0.0
gemma_4b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881245613098145,0.7266775369644165,0.7561547756195068,0.4851063829787234,114,0.0,0.425,0.575,0.0
gemma_4b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018287420272827,0.7320283651351929,0.7653403878211975,0.4463276836158192,79,0.0,0.31666666666666665,0.6833333333333333,0.0
phi3_4b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636484861373901,0.618061900138855,0.6400445103645325,0.43169398907103823,79,0.0,0.12857142857142856,0.8714285714285714,0.0
phi3_4b_hf_4bit,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5429151058197021,0.5488884449005127,0.545885443687439,0.9005847953216374,154,0.0,1.5666666666666667,0.0,0.0
phi3_4b_hf_4bit,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254587411880493,0.7594512701034546,0.742065966129303,1.0301204819277108,171,0.0,1.85,0.0,0.0
phi3_4b_hf_4bit,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649192571640015,0.6302223801612854,0.6471060514450073,0.9659574468085106,227,0.0,1.8375,0.0,0.0
phi3_4b_hf_4bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518058061599731,0.8250290751457214,0.8382036685943604,0.8813559322033898,156,0.0,1.6,0.0,0.0
