,rouge_1_precision,rouge_1_precision,rouge_1_precision,rouge_1_precision,rouge_1_recall,rouge_1_recall,rouge_1_recall,rouge_1_recall,rouge_1_f1,rouge_1_f1,rouge_1_f1,rouge_1_f1,rouge_2_precision,rouge_2_precision,rouge_2_precision,rouge_2_precision,rouge_2_recall,rouge_2_recall,rouge_2_recall,rouge_2_recall,rouge_2_f1,rouge_2_f1,rouge_2_f1,rouge_2_f1,rouge_l_precision,rouge_l_precision,rouge_l_precision,rouge_l_precision,rouge_l_recall,rouge_l_recall,rouge_l_recall,rouge_l_recall,rouge_l_f1,rouge_l_f1,rouge_l_f1,rouge_l_f1,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_precision,bertscore_recall,bertscore_recall,bertscore_recall,bertscore_recall,bertscore_f1,bertscore_f1,bertscore_f1,bertscore_f1,compression_ratio,compression_ratio,compression_ratio,compression_ratio,length,length,length,length,in_range,in_range,in_range,in_range,deviation,deviation,deviation,deviation,compliance_score,compliance_score,compliance_score,compliance_score,information_density,information_density,information_density,information_density
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_8b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6601236581802368,0.02713385315317463,0.6242855787277222,0.6867173314094543,0.7561146736145019,0.03425916991677412,0.7107555866241455,0.7994354367256165,0.7047282457351685,0.02831192044625189,0.6647202968597412,0.7353747487068176,2.1475505366012184,0.257965140097037,1.9378531073446328,2.5180722891566263,397.6,51.81023064994018,343,459,0.0,0.0,0.0,0.0,5.042261904761905,0.535974473852361,4.716666666666667,5.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_2b_hf_4bit,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6573028564453125,,0.6573028564453125,0.6573028564453125,0.6538269519805908,,0.6538269519805908,0.6538269519805908,0.655560314655304,,0.655560314655304,0.655560314655304,0.8633879781420765,,0.8633879781420765,0.8633879781420765,158.0,,158,158,0.0,,0.0,0.0,1.2571428571428571,,1.2571428571428571,1.2571428571428571,0.0,,0.0,0.0,0.0,,0.0,0.0
gemma_2b_hf_8bit,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.9343755841255188,,0.9343755841255188,0.9343755841255188,0.865543007850647,,0.865543007850647,0.865543007850647,0.8986430764198303,,0.8986430764198303,0.8986430764198303,0.8142076502732241,,0.8142076502732241,0.8142076502732241,149.0,,149,149,0.0,,0.0,0.0,1.1285714285714286,,1.1285714285714286,1.1285714285714286,0.0,,0.0,0.0,0.0,,0.0,0.0
gemma_4b_ol_q4km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814613425731659,0.03682009576912241,0.7881245613098145,0.8784494400024414,0.7385739207267761,0.01961882186678241,0.7181590795516968,0.7675818204879761,0.7746533513069153,0.026831059221973062,0.7536436915397644,0.8192819356918335,0.4675184987607045,0.01758559322943995,0.4463276836158192,0.48633879781420764,87.4,15.662056059151366,76,114,0.0,0.0,0.0,0.0,0.3192857142857143,0.06373440852421848,0.26666666666666666,0.425,0.6807142857142857,0.06373440852421852,0.575,0.7333333333333334,0.0,0.0,0.0,0.0
phi3_4b_hf_4bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6897494792938232,0.11224475429912636,0.5429151058197021,0.8518058061599731,0.6763306140899659,0.11267541271914017,0.5488884449005127,0.8250290751457214,0.6826611280441284,0.11125460003344281,0.545885443687439,0.8382036685943604,0.8419425290664574,0.23668905660822767,0.43169398907103823,1.0301204819277108,157.4,52.88950746603716,79,227,0.0,0.0,0.0,0.0,1.396547619047619,0.7207903726728517,0.12857142857142856,1.85,0.1742857142857143,0.38971470464996333,0.0,0.8714285714285714,0.0,0.0,0.0,0.0
phi3_4b_hf_8bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921418190002442,0.08254783876057484,0.582358717918396,0.8136436939239502,0.6712787032127381,0.05816031087117283,0.5907992124557495,0.7493458390235901,0.679861581325531,0.05759333993205556,0.5865486264228821,0.7275254130363464,0.8194195822317676,0.3217477865044251,0.28415300546448086,1.1385542168674698,151.2,57.35590640901772,52,192,0.2,0.447213595499958,0.0,1.0,1.3866666666666667,0.8208565986550608,0.0,2.15,0.2,0.447213595499958,0.0,1.0,0.0,0.0,0.0,0.0
qwen25_3b_hf_4bit,0.15,0.22360679774997896,0.0,0.5,0.2333333333333333,0.32489314482696546,0.0,0.6666666666666666,0.18095237908390027,0.26168821969796474,0.0,0.5714285665306124,0.06666666666666667,0.14907119849998596,0.0,0.3333333333333333,0.1,0.223606797749979,0.0,0.5,0.07999999904000002,0.17888543605335794,0.0,0.39999999520000007,0.15,0.22360679774997896,0.0,0.5,0.2333333333333333,0.32489314482696546,0.0,0.6666666666666666,0.18095237908390027,0.26168821969796474,0.0,0.5714285665306124,0.7157793283462525,0.050275918451535125,0.6380406022071838,0.770993173122406,0.8492260456085206,0.07144116789978165,0.7553669214248657,0.9186352491378784,0.776035487651825,0.05337689896110177,0.7094660401344299,0.816095232963562,2.977076614264346,1.0155093534010058,2.025531914893617,4.228915662650603,541.6,146.45238133946472,372,702,0.0,0.0,0.0,0.0,7.406666666666666,2.9210110502282514,4.95,10.7,0.0,0.0,0.0,0.0,0.11066007047980482,0.15298581245386464,0.0,0.30645161290322576
qwen25_3b_hf_8bit,0.1,0.223606797749979,0.0,0.5,0.2,0.447213595499958,0.0,1.0,0.13333333244444445,0.298142395012356,0.0,0.6666666622222223,0.06666666666666667,0.14907119849998596,0.0,0.3333333333333333,0.2,0.447213595499958,0.0,1.0,0.09999999925000001,0.22360679607292802,0.0,0.4999999962500001,0.1,0.223606797749979,0.0,0.5,0.2,0.447213595499958,0.0,1.0,0.13333333244444445,0.298142395012356,0.0,0.6666666622222223,0.7043586373329163,0.08074721234721435,0.6175402402877808,0.8062679767608643,0.7293609380722046,0.13311331875095841,0.5707607865333557,0.8867101669311523,0.714720344543457,0.10014993599073797,0.5932297110557556,0.8265476822853088,2.219783557937851,0.2824007344619024,1.8170212765957447,2.4819277108433737,409.0,36.42114770294862,351,449,0.0,0.0,0.0,0.0,5.247023809523809,0.6455276871660571,4.3375,5.866666666666666,0.0,0.0,0.0,0.0,0.09743589743589742,0.2178732901153641,0.0,0.4871794871794871
