model,global_mean,fairness_gap,gini,theil,nsw,fair_quality_score,lam,group_by
deepseek-r1:8b,0.9956459934818118,0.013062019554564763,0.0032797818001956223,2.8769523457635848e-05,-0.01756545152228769,0.9943454787381835,0.1,task
gemma3:4b,0.6828563925475839,0.6828563925475839,0.2991633452205303,0.29771395522477895,-14.128267004040815,0.6362271072632739,0.1,task
qwen3:4b,0.5240432700104547,0.5240432700104547,0.4381916444097457,0.43802921615292706,-15.49325750624428,0.49658113512612967,0.1,task
qwen3:8b,0.39069036382541195,0.609309636174588,0.4801824476889934,0.4831989951672329,-16.351604296384075,0.36688522348147407,0.1,task
deepseek-r1:8b,0.9956459934818118,0.013062019554564763,0.0032797818001956223,2.8769523457635848e-05,-0.01756545152228769,0.9930449639945551,0.2,task
gemma3:4b,0.6828563925475839,0.6828563925475839,0.2991633452205303,0.29771395522477895,-14.128267004040815,0.5895978219789639,0.2,task
qwen3:4b,0.5240432700104547,0.5240432700104547,0.4381916444097457,0.43802921615292706,-15.49325750624428,0.46911900024180464,0.2,task
qwen3:8b,0.39069036382541195,0.609309636174588,0.4801824476889934,0.4831989951672329,-16.351604296384075,0.34308008313753613,0.2,task
deepseek-r1:8b,0.9956459934818118,0.013062019554564763,0.0032797818001956223,2.8769523457635848e-05,-0.01756545152228769,0.9917444492509269,0.3,task
gemma3:4b,0.6828563925475839,0.6828563925475839,0.2991633452205303,0.29771395522477895,-14.128267004040815,0.542968536694654,0.3,task
qwen3:4b,0.5240432700104547,0.5240432700104547,0.4381916444097457,0.43802921615292706,-15.49325750624428,0.4416568653574796,0.3,task
qwen3:8b,0.39069036382541195,0.609309636174588,0.4801824476889934,0.4831989951672329,-16.351604296384075,0.3192749427935982,0.3,task
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.1,language
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.1,language
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.1,language
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.1,language
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.2,language
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.2,language
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.2,language
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.2,language
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.3,language
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.3,language
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.3,language
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.3,language
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.1,style
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.1,style
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.1,style
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.1,style
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.2,style
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.2,style
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.2,style
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.2,style
deepseek-r1:8b,0.9956459934818118,0.0,0.0032797818001956223,2.8769523457635848e-05,0.0,0.9956459934818118,0.3,style
gemma3:4b,0.6828563925475839,0.0,0.2991633452205303,0.29771395522477895,0.0,0.6828563925475839,0.3,style
qwen3:4b,0.5240432700104547,0.0,0.4381916444097457,0.43802921615292706,0.0,0.5240432700104547,0.3,style
qwen3:8b,0.39069036382541195,0.0,0.4801824476889934,0.4831989951672329,0.0,0.39069036382541195,0.3,style
