model,experiment_id,task_type,throughput_tps,latency_s,latency_per_token_ms,ttft_s,token_count,cpu_percent_avg,cpu_percent_peak,mem_used_avg_mb,mem_used_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_avg_mb,gpu_mem_peak_mb,gpu_power_avg_w,gpu_power_peak_w,gpu_energy_j,gpu_temp_avg_c,cpu_energy_j,response_length,avg_response_length,temperature,max_tokens,norm_throughput,norm_latency,norm_energy,norm_gpu_util,efficiency_score,norm_quality,qe_ratio
deepseek_8b_ol_q4km,exp_20260303_203028_2759390320288,code,36.59415426917279,18.582202911376953,27.32676898731905,8.273946285247803,680,10.726136363636364,37.3,9612.993119673296,9792.125,77.01136363636364,95,5317.202769886364,5688.6171875,74.49734090909091,90.11,1387.4209912241702,47.84090909090909,90.70185671210295,1866,1866.0,0.1,1200,0.5081435489464559,0.9610799876382812,0.8994960006376539,0.7962870541749989,0.7614302160613629,0.324478878435713,1.3456135863974668
deepseek_8b_ol_q4km,exp_20260303_203049_2759390320288,code,42.11659194626256,15.195911407470703,23.743611574172974,,640,9.145205479452057,18.7,9682.46281035959,9719.00390625,87.20547945205479,100,5690.562392979452,5690.6171875,80.01702739726028,91.339,1227.8423734190465,53.26027397260274,63.0250025331974,2831,2831.0,0.1,640,0.5921901676783144,0.9705846352687661,0.9133825843491882,0.9388529144296126,0.8020662329567121,0.5024903154399557,2.4646805698146412
deepseek_8b_ol_q4km,exp_20260303_203106_2759390320288,code,42.17617606221415,15.174443483352661,23.710067942738533,,640,8.972602739726028,16.4,9738.135380993152,9762.52734375,88.38356164383562,95,5690.6171875,5690.6171875,81.72254794520549,97.514,1247.139268784642,55.19178082191781,62.129207233786566,2451,2451.0,0.1,640,0.5930969852412601,0.9706448914675797,0.9117033621792462,0.9553285268474502,0.8019432701905519,0.4323925475004612,2.1263073196701354
deepseek_8b_ol_q4km,exp_20260303_203123_2759390320288,code,42.607184278245384,18.77617621421814,23.470220267772675,7.784754276275635,800,9.475555555555557,20.7,9719.16796875,9775.9140625,91.57777777777778,100,5690.6171875,5690.6171875,83.22172222222221,92.317,1571.7011238927837,56.733333333333334,80.60579222738745,1958,1958.0,0.1,800,0.5996565492094253,0.9605355431062319,0.8834598829931182,1.0,0.7930612475135752,0.34144991698948535,1.6200421223104329
deepseek_8b_ol_q4km,exp_20260303_203144_2759390320288,code,42.3071096009601,18.909351348876953,23.63668918609619,,800,9.113333333333333,24.8,9715.630598958332,9755.05859375,90.6,100,5690.6171875,5690.6171875,83.61085555555556,92.932,1591.895764991403,58.022222222222226,78.29928181171421,2305,2305.0,0.1,800,0.5950896779348956,0.9601617469558962,0.881702538694756,0.9863256674196139,0.7905951568691539,0.4054602471868659,1.893578287782365
deepseek_8b_ol_q4km,exp_20260303_203205_2759390320288,creative,40.27543508453582,9.50951862335205,24.829030348177678,8.206652641296387,383,8.673913043478262,19.0,9761.953209918478,9776.53125,84.93478260869566,95,5690.6171875,5690.6171875,75.48904347826087,91.904,721.1956429157257,57.630434782608695,37.72546914696693,56,56.0,0.8,500,0.5914863907395272,0.9376873342304128,0.84613903256945,0.9147796110562931,0.7717424663357697,0.06140350877192982,0.2996904554235703
deepseek_8b_ol_q4km,exp_20260303_203217_2759390320288,creative,41.52557044250039,11.848121404647827,24.081547570422412,8.163229703903198,492,10.156140350877193,19.7,9728.375616776315,9754.39453125,88.43859649122807,100,5690.6171875,5690.6171875,79.7792105263158,92.699,952.5488146685362,57.8421052631579,54.953638429641714,238,238.0,0.8,500,0.6109562477261063,0.9216280002249234,0.7961163440842111,0.9711466255411582,0.7597058023831829,0.26096491228070173,1.0825856726232623
deepseek_8b_ol_q4km,exp_20260303_203231_2759390320288,creative,41.43159922422434,12.06808352470398,24.13616704940796,,500,9.250000000000002,17.3,9727.691473599138,9750.15625,84.8103448275862,94,5690.6171875,5690.6171875,79.53353448275861,92.873,965.9006110287905,58.3448275862069,50.93426156938077,765,765.0,0.8,500,0.6094927212615256,0.9201175063596163,0.7932294472027585,0.9127777392544749,0.7578011745733226,0.8388157894736842,3.365661152614937
deepseek_8b_ol_q4km,exp_20260303_203246_2759390320288,creative,40.184462126199826,8.411211252212524,24.885240391161314,6.742807865142822,338,8.339024390243901,13.7,9728.302210365853,9746.3984375,86.53658536585365,100,5690.6171875,5690.6171875,76.17214634146342,97.544,643.7691781231165,57.78048780487805,32.1597100031376,99,99.0,0.8,500,0.5900695597722536,0.9452294807868485,0.862880017356865,0.9405483425704695,0.7784606733520154,0.10855263157894737,0.51201941931526
deepseek_8b_ol_q4km,exp_20260303_203256_2759390320288,creative,40.42063128036176,9.895936489105225,24.73984122276306,,400,10.479166666666666,20.5,9741.293538411459,9782.1796875,89.75,100,5690.6171875,5690.6171875,80.00164583333334,94.488,796.4521158936025,58.041666666666664,47.603489640355114,606,606.0,0.8,400,0.5937477052041698,0.9350337781748692,0.8298672387757935,0.992243608158575,0.7669693871668668,0.6644736842105263,2.7752622451461515
deepseek_8b_ol_q4km,exp_20260303_203308_2759390320288,math,40.83235005877256,9.796154260635376,24.49038565158844,,400,8.827659574468086,13.7,9736.538065159575,9763.8046875,88.1063829787234,99,5690.6171875,5690.6171875,77.34455319148937,93.76,769.441123292327,58.212765957446805,39.631304034590705,1358,1358.0,0.0,400,0.5903542368667105,0.8873190573991306,0.5892635589410931,0.9832347445466465,0.6791164796487513,0.49007578491519305,1.5113348177157286
deepseek_8b_ol_q4km,exp_20260303_203320_2759390320288,math,41.03265866046493,9.748332500457764,24.37083125114441,,400,9.740425531914893,23.1,9725.799035904256,9760.2734375,85.59574468085107,95,5690.6171875,5690.6171875,78.28427659574467,93.091,767.8798389544487,58.5531914893617,43.685812844038004,1156,1156.0,0.0,400,0.5933632088426399,0.8879067753190951,0.5901057125410425,0.9552169469478771,0.6807490298950972,0.4171779141104294,1.29742340310896
deepseek_8b_ol_q4km,exp_20260303_203332_2759390320288,math,39.76640824680739,8.046992778778076,25.146852433681488,7.1312456130981445,320,7.576923076923078,12.4,9684.76782852564,9735.72265625,80.76923076923077,94,5690.6171875,5690.6171875,74.17648717948717,92.447,603.0929842444658,58.12820512820513,28.174278590083116,68,68.0,0.0,320,0.5743419986848451,0.9088158309177337,0.6789914071909479,0.901354831485836,0.7060789709065425,0.024539877300613498,0.11364753996668088
deepseek_8b_ol_q4km,exp_20260303_203343_2759390320288,math,41.754740040663286,14.36962604522705,23.949376742045086,,600,8.185507246376812,13.7,9665.938575634058,9678.515625,88.6086956521739,100,5690.6171875,5690.6171875,82.10292753623192,94.428,1186.5538998577595,59.15942028985507,53.57848770439624,1973,1973.0,0.0,600,0.6042100852074109,0.8311121901848497,0.3642737746672193,0.9888403687530325,0.6002998235385851,0.7120173222663299,1.76230659332979
deepseek_8b_ol_q4km,exp_20260303_203359_2759390320288,math,40.07177214127536,7.985671281814575,24.955222755670547,,320,8.974358974358974,18.7,9694.914963942309,9727.88671875,84.12820512820512,95,5690.6171875,5690.6171875,76.59071794871797,93.43,622.1646196099518,58.64102564102564,32.78070143401624,871,871.0,0.0,320,0.5789290777875484,0.9095694573528678,0.6687042058207027,0.9388397467000087,0.7050537300670905,0.31432695777697583,1.063554434846277
deepseek_8b_ol_q4km,exp_20260303_203410_2759390320288,multi_turn,39.89780488279426,16.56732749938965,25.06403555127027,6.124746799468994,661,8.88625,21.4,9708.66826171875,9731.62890625,84.9125,95,5691.0921875,5692.6171875,80.4120625,93.973,1336.2266372513768,59.1125,66.9496870994568,27,44.25,0.2,300,0.5265757088354472,0.966324245673372,0.7451900150322837,0.9359230254384042,0.7240845617458755,0.016073478760045924,0.09119297271688967
deepseek_8b_ol_q4km,exp_20260303_203428_2759390320288,multi_turn,38.41889259126259,18.740779638290405,26.028860608736675,6.366345643997192,720,8.66067415730337,17.3,9729.518126755618,9763.640625,79.02247191011236,95,5692.6171875,5692.6171875,81.41404494382022,93.725,1539.4972560607196,59.31460674157304,73.77940799474716,94,68.66666666666667,0.7,240,0.5028139675728004,0.953300785928392,0.692431964159169,0.8599338197125603,0.6948454120553884,0.09299655568312284,0.3268128075013919
deepseek_8b_ol_q4km,exp_20260303_203449_2759390320288,multi_turn,39.199475259811656,22.95949101448059,25.5105455716451,13.68646788597107,900,10.105504587155961,31.0,9758.667753727064,9809.1640625,83.72477064220183,100,5692.6171875,5692.6171875,82.9782844036697,108.556,1917.7741310958854,60.211009174311926,105.2650725477934,125,246.0,0.7,300,0.515355619643972,0.9280220062395559,0.5942517611660993,0.9205997351010791,0.6628243780792854,0.1285878300803674,0.39918652500323615
deepseek_8b_ol_q4km,exp_20260303_203514_2759390320288,multi_turn,41.47548569763375,17.359652042388916,24.110627836651272,,720,9.036144578313255,17.0,9782.154791039156,9832.8984375,85.5421686746988,97,5692.6171875,5692.6171875,82.48990361445783,94.879,1444.0611479864122,61.51807228915663,71.38087752163412,428,425.3333333333333,0.7,240,0.551924367800498,0.9615765879697478,0.7172020124544367,0.9440465898307295,0.7244033272474546,0.4764638346727899,1.7033245870279639
deepseek_8b_ol_q4km,exp_20260303_203534_2759390320288,multi_turn,42.00110376272145,28.95162010192871,23.808898110138742,3.2782199382781982,1216,10.227737226277373,29.0,9496.694257527372,9818.7734375,88.77372262773723,100,5692.6171875,5692.6171875,87.19193430656934,108.643,2538.8133796120883,62.44525547445255,134.14809989333153,607,465.6666666666667,0.2,450,0.5603694936792287,0.892116797856834,0.4330635852293179,0.9857379390745811,0.621701912397537,0.6819747416762342,1.7820709495347125
deepseek_8b_ol_q4km,exp_20260303_203605_2759390320288,qa,40.267769257508085,7.450127124786377,24.833757082621258,,300,13.066666666666668,22.8,9599.753689236111,9616.6015625,85.88888888888889,95,5692.6171875,5692.6171875,81.30822222222224,97.621,613.2309931582212,61.72222222222222,44.824035737514485,1201,1201.0,0.0,300,0.5955179761331918,0.877058957650861,0.3866479378699796,0.9804567964894805,0.6173192591095288,0.8439597315436241,2.174692167502596
deepseek_8b_ol_q4km,exp_20260303_203615_2759390320288,qa,36.53286118714919,5.474523305892944,27.37261652946472,,200,8.174074074074072,15.1,9584.37745949074,9606.73046875,75.88888888888889,93,5692.6171875,5692.6171875,66.17977777777779,95.943,367.0184295779465,59.25925925925926,20.845822911858562,986,986.0,0.0,200,0.5279553241167975,0.9308353525887657,0.6658598818146804,0.798261194040814,0.6901906999677528,0.6635906040268457,2.106225816319056
deepseek_8b_ol_q4km,exp_20260303_203623_2759390320288,qa,36.02745446945988,5.551321983337402,27.75660991668701,,200,9.370370370370368,20.2,9601.27806712963,9635.27734375,79.85185185185185,100,5692.6171875,5692.6171875,64.2627037037037,97.715,365.14742610108857,58.18518518518518,24.27695400953293,994,994.0,0.0,200,0.518812764902292,0.9287448747462622,0.6679816521675183,0.8704646364926929,0.6865430640350509,0.6703020134228188,2.103222833646513
deepseek_8b_ol_q4km,exp_20260303_203630_2759390320288,qa,39.348697726618795,7.624140501022339,25.413801670074463,,300,8.154054054054052,11.3,9578.499894425675,9590.6015625,83.43243243243244,95,5692.6171875,5692.6171875,73.2994864864865,94.259,564.3547476413252,59.027027027027025,28.509762083888052,1229,1229.0,0.0,300,0.5788924236832004,0.8723222731215787,0.4420749693952885,0.9357012400921805,0.6258761422283403,0.8674496644295302,2.284288379065289
deepseek_8b_ol_q4km,exp_20260303_203640_2759390320288,qa,37.565436392259876,5.324043035507202,26.62021517753601,,200,7.138461538461538,15.2,9575.244741586539,9586.94921875,75.46153846153847,95,5692.6171875,5692.6171875,68.17561538461538,92.634,363.6952183983326,57.96153846153846,17.741056247949604,968,968.0,0.0,200,0.5466341022686106,0.9349314605094109,0.6696284963813219,0.7904750571840334,0.7000216279746642,0.6484899328859061,2.1243092819136584
deepseek_8b_ol_q4km,exp_20260303_203648_2759390320288,reasoning,42.173738785906664,14.226862907409668,23.711438179016113,,600,8.627941176470587,19.8,9568.702263327206,9611.71484375,88.1029411764706,95,5692.6171875,5692.6171875,82.6745,93.277,1182.653650460124,59.6764705882353,55.886553323864945,948,948.0,0.1,600,0.5740530288713585,0.8314932341651243,0.3670509506390567,0.9535525601259124,0.5891844669897977,0.901846452866861,2.166855501611805
